iter	Passed	Remaining
0	1	1242
1	2	949
2	4	1325
3	5	1140
4	6	1021
5	7	1038
6	9	1044
7	9	978
8	10	960
9	11	913
10	12	872
11	13	879
12	14	897
13	15	866
14	16	846
15	16	822
16	17	802
17	18	783
18	18	768
19	20	782
20	20	767
21	21	752
22	21	738
23	23	769
24	24	760
25	25	773
26	26	762
27	27	751
28	28	744
29	29	755
30	30	748
31	31	757
32	32	766
33	34	772
34	34	763
35	35	754
36	36	762
37	37	754
38	38	760
39	39	753
40	41	771
41	43	777
42	45	792
43	46	797
44	47	802
45	48	795
46	49	789
47	49	781
48	50	776
49	51	769
50	51	763
51	52	757
52	54	773
53	55	767
54	56	760
55	56	755
56	57	750
57	58	752
58	60	757
59	61	752
60	61	746
61	62	740
62	62	736
63	63	731
64	64	727
65	64	722
66	65	718
67	66	714
68	67	710
69	67	707
70	68	703
71	69	700
72	69	697
73	71	701
74	72	705
75	73	699
76	74	696
77	74	692
78	75	688
79	76	685
80	76	682
81	78	685
82	78	680
83	79	677
84	80	673
85	80	668
86	81	664
87	81	660
88	82	658
89	83	660
90	85	667
91	87	670
92	87	666
93	88	664
94	89	661
95	90	663
96	91	660
97	91	657
98	92	654
99	93	652
100	94	655
101	95	651
102	95	649
103	97	651
104	98	648
105	98	646
106	99	643
107	100	645
108	101	642
109	101	639
110	103	641
111	104	642
112	105	643
113	106	641
114	107	641
115	109	643
116	109	641
117	110	638
118	111	636
119	111	633
120	113	635
121	114	633
122	115	634
123	116	636
124	118	637
125	118	635
126	119	633
127	120	631
128	121	633
129	123	634
130	123	632
131	124	630
132	125	630
133	126	628
134	127	626
135	127	624
136	128	622
137	129	620
138	131	624
139	132	622
140	132	620
141	133	618
142	134	616
143	135	617
144	136	615
145	136	612
146	137	611
147	138	609
148	139	610
149	140	608
150	140	605
151	141	603
152	142	601
153	142	599
154	143	597
155	144	595
156	144	593
157	145	592
158	146	589
159	146	587
160	147	585
161	148	583
162	148	581
163	150	582
164	150	580
165	151	579
166	152	577
167	152	575
168	153	573
169	154	571
170	154	569
171	155	567
172	156	565
173	157	566
174	158	566
175	159	567
176	160	565
177	161	563
178	162	564
179	163	562
180	164	563
181	165	561
182	166	560
183	166	558
184	167	555
185	167	553
186	169	554
187	169	552
188	171	553
189	171	551
190	172	549
191	173	548
192	173	546
193	174	544
194	175	543
195	175	541
196	177	542
197	177	540
198	178	539
199	179	537
200	179	536
201	180	534
202	181	532
203	182	533
204	183	531
205	183	529
206	184	528
207	185	527
208	185	525
209	187	527
210	188	526
211	189	524
212	189	522
213	190	521
214	191	521
215	192	520
216	193	521
217	194	519
218	195	517
219	195	516
220	196	514
221	197	513
222	197	511
223	198	510
224	199	509
225	199	507
226	200	506
227	201	504
228	201	503
229	202	502
230	203	500
231	203	498
232	205	498
233	205	497
234	206	496
235	206	494
236	207	493
237	209	493
238	209	492
239	210	491
240	211	489
241	211	488
242	213	488
243	214	488
244	215	487
245	215	485
246	216	484
247	216	482
248	217	481
249	218	481
250	219	479
251	220	478
252	220	477
253	222	477
254	222	476
255	224	476
256	225	476
257	226	476
258	228	476
259	229	475
260	229	474
261	230	472
262	230	471
263	231	470
264	232	468
265	232	467
266	234	467
267	234	465
268	235	464
269	236	463
270	236	462
271	237	461
272	238	459
273	238	458
274	239	457
275	240	455
276	240	454
277	241	453
278	242	453
279	243	451
280	243	450
281	244	449
282	245	448
283	246	447
284	246	445
285	248	445
286	248	444
287	250	444
288	250	443
289	251	442
290	252	441
291	253	440
292	254	440
293	255	440
294	256	439
295	257	438
296	257	436
297	259	436
298	260	435
299	260	434
300	261	433
301	261	432
302	262	430
303	264	430
304	264	429
305	265	428
306	266	427
307	267	426
308	268	426
309	269	426
310	270	425
311	272	426
312	273	424
313	273	423
314	275	423
315	276	423
316	277	422
317	278	421
318	278	420
319	280	420
320	280	419
321	281	417
322	282	416
323	282	415
324	284	415
325	284	414
326	285	413
327	286	411
328	287	411
329	288	410
330	289	410
331	290	408
332	291	408
333	292	407
334	294	408
335	294	407
336	295	406
337	296	404
338	296	403
339	298	403
340	298	402
341	299	401
342	300	399
343	300	398
344	302	398
345	302	397
346	303	396
347	304	395
348	304	393
349	306	393
350	306	392
351	307	391
352	308	390
353	308	388
354	309	387
355	310	386
356	310	385
357	311	384
358	312	384
359	313	383
360	315	383
361	315	382
362	316	380
363	317	379
364	317	378
365	318	377
366	319	376
367	319	375
368	320	374
369	321	373
370	321	372
371	323	371
372	323	370
373	325	370
374	326	369
375	326	368
376	327	367
377	327	366
378	328	365
379	329	364
380	331	364
381	332	363
382	332	362
383	333	361
384	333	359
385	334	358
386	336	358
387	336	357
388	337	356
389	338	355
390	338	354
391	339	353
392	340	352
393	340	351
394	341	350
395	342	349
396	343	348
397	344	347
398	344	346
399	345	345
400	347	345
401	347	344
402	349	343
403	349	342
404	351	342
405	351	341
406	353	340
407	353	339
408	354	338
409	354	337
410	356	337
411	356	336
412	358	335
413	359	335
414	360	334
415	360	333
416	361	332
417	362	331
418	362	330
419	363	329
420	364	327
421	364	326
422	365	325
423	366	324
424	366	323
425	367	322
426	368	321
427	368	320
428	370	320
429	371	319
430	372	318
431	373	317
432	374	317
433	375	316
434	376	316
435	377	314
436	377	313
437	378	312
438	379	311
439	379	310
440	380	309
441	382	309
442	383	308
443	383	307
444	384	306
445	385	305
446	385	304
447	386	303
448	386	302
449	387	301
450	389	301
451	390	300
452	391	299
453	392	299
454	393	298
455	393	297
456	395	296
457	396	296
458	397	294
459	398	294
460	398	293
461	399	292
462	400	291
463	401	290
464	402	289
465	402	288
466	403	287
467	404	286
468	404	285
469	406	285
470	406	284
471	408	283
472	409	282
473	409	281
474	410	280
475	410	279
476	411	278
477	412	278
478	415	278
479	415	277
480	416	276
481	417	275
482	417	274
483	418	273
484	419	272
485	419	271
486	420	270
487	421	269
488	421	268
489	422	267
490	423	266
491	424	265
492	425	264
493	426	264
494	427	263
495	428	262
496	429	262
497	430	261
498	431	260
499	432	259
500	433	258
501	435	258
502	436	257
503	436	256
504	437	255
505	438	255
506	439	254
507	440	253
508	442	252
509	444	252
510	445	251
511	446	251
512	447	250
513	448	249
514	449	248
515	449	247
516	450	246
517	451	245
518	452	244
519	453	243
520	455	243
521	455	242
522	456	241
523	457	240
524	457	239
525	458	238
526	459	237
527	460	237
528	461	236
529	462	235
530	464	235
531	464	234
532	466	233
533	466	232
534	467	231
535	469	231
536	469	230
537	470	229
538	471	228
539	471	227
540	472	226
541	473	225
542	474	224
543	475	223
544	475	222
545	476	221
