row #,COSMOS ID,CAS RN,COSMOS Name,STRUCTURE NOTE,SMILES,InChI,InChIKey,Atoms,Bonds,BondsRot,HAcc,HAccN,HAccO,HDon,HDonN,HDonO,Ro5Viol,Ro5ViolExt,Stereo,Weight,Complex,ComplexRing,TPSA,XlogP,Experimental_logKp_available,Experimental_logKp_record_count,Experimental_logKp_values_log10_cm_per_s,Experimental_logKp_mean_log10_cm_per_s,Experimental_logKp_median_log10_cm_per_s,Experimental_logKp_min_log10_cm_per_s,Experimental_logKp_max_log10_cm_per_s,Structure_match_method,Experimental_source,Source_URL
6,CMS-138,71-43-2,BENZENE,EXACT STRUCTURE,c1ccccc1,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,UHOVQNZJYSORNB-UHFFFAOYSA-N,12,12,0,0,0,0,0,0,0,0,0,0,78.112,15.5098,1,0,2.01934,Yes,2,-4.511 | -4.352,-4.431500,-4.431500,-4.511000,-4.352000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
38,CMS-1150,106-50-3,P-PHENYLENEDIAMINE,EXACT STRUCTURE,Nc1ccc(N)cc1,"InChI=1S/C6H8N2/c7-5-1-2-6(8)4-3-5/h1-4H,7-8H2",CBCKQZAAMUWICA-UHFFFAOYSA-N,16,16,0,2,2,0,4,4,0,0,0,0,108.141,54.9288,1,52.04,-0.0303779,Yes,1,-7.176,-7.176000,-7.176000,-7.176000,-7.176000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
40,CMS-6782,3380-34-5,TRICLOSAN,EXACT STRUCTURE,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,"InChI=1S/C12H7Cl3O2/c13-7-1-3-11(9(15)5-7)17-12-4-2-8(14)6-10(12)16/h1-6,16H",XEFQLINVKFYRCS-UHFFFAOYSA-N,24,25,2,2,0,2,1,0,1,0,0,0,289.542,251.905,1,29.46,4.96459,Yes,1,-7.269,-7.269000,-7.269000,-7.269000,-7.269000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
117,CMS-922,79-11-8,MONOCHLOROACETIC ACID--PROHIBITED,EXACT STRUCTURE,O=C(O)CCl,"InChI=1S/C2H3ClO2/c3-1-2(4)5/h1H2,(H,4,5)",FOCAUTSVDIKZOP-UHFFFAOYSA-N,8,7,1,2,0,2,1,0,1,0,0,0,94.497,42.9126,0,37.3,0.159939,Yes,1,-6.515,-6.515000,-6.515000,-6.515000,-6.515000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
137,CMS-1784,90-15-3,1-NAPHTHOL,EXACT STRUCTURE,Oc1cccc2ccccc12,"InChI=1S/C10H8O/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7,11H",KJCVRFUGPWSIIH-UHFFFAOYSA-N,19,20,0,1,0,1,1,0,1,0,0,0,144.17,132.834,1.2,20.23,2.87717,Yes,1,-5.141,-5.141000,-5.141000,-5.141000,-5.141000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
150,CMS-1163,90-43-7,O-PHENYLPHENOL,EXACT STRUCTURE,Oc1ccccc1-c1ccccc1,"InChI=1S/C12H10O/c13-12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9,13H",LLEMOWNGBBNAJR-UHFFFAOYSA-N,23,24,1,1,0,1,1,0,1,0,0,0,170.207,149.203,1,20.23,3.55029,Yes,2,-6.355 | -5.294,-5.824500,-5.824500,-6.355000,-5.294000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
152,CMS-1355,58-55-9,THEOPHYLLINE,EXACT STRUCTURE,Cn1c(=O)c2[nH]cnc2n(C)c1=O,"InChI=1S/C7H8N4O2/c1-10-5-4(8-3-9-5)6(12)11(2)7(10)13/h3H,1-2H3,(H,8,9)",ZFXYFBGIUFBOJW-UHFFFAOYSA-N,21,22,0,6,4,2,1,1,0,0,0,0,180.164,267.218,1.22222,69.3,-0.746224,Yes,1,-7.125,-7.125000,-7.125000,-7.125000,-7.125000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
186,CMS-976,5307-14-2,2-NITRO-P-PHENYLENEDIAMINE,EXACT STRUCTURE,Nc1ccc(N)c([N+](=O)[O-])c1,"InChI=1S/C6H7N3O2/c7-4-1-2-5(8)6(3-4)9(10)11/h1-3H,7-8H2",HVHNMNGARPCGGD-UHFFFAOYSA-N,18,18,1,5,3,2,4,4,0,0,0,0,153.139,156.397,1,97.86,0.296496,Yes,1,-6.857,-6.857000,-6.857000,-6.857000,-6.857000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
215,CMS-1949,134-62-3,DIETHYLTOLUAMIDE,EXACT STRUCTURE,CCN(CC)C(=O)c1cccc(C)c1,"InChI=1S/C12H17NO/c1-4-13(5-2)12(14)11-8-6-7-10(3)9-11/h6-9H,4-5H2,1-3H3",MMOXZBCLCQITDF-UHFFFAOYSA-N,31,31,3,2,1,1,0,0,0,0,0,0,191.269,186.761,1,20.31,2.85092,Yes,12,-8.352 | -7.699 | -7.561 | -7.535 | -7.477 | -7.474 | -7.392 | -7.158 | -6.954 | -6.792 | -6.78 | -6.446,-7.301667,-7.433000,-8.352000,-6.446000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
295,CMS-1305,57-50-1,SUCROSE,EXACT STRUCTURE,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1",CZMRCDWAGMRECN-UGDNZRGBSA-N,45,46,5,11,0,11,8,0,8,2,2,9,342.296,395.203,1,189.53,-4.03352,Yes,4,-8.84 | -8.583 | -8.075,-8.584500,-8.711500,-8.840000,-8.075000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
