logkpl,Compound,SMILES,Texpi,ALogp2,nAcid,nAromBond,ATSc2,ATSc3,ATSc4,ATSc5,ATSm1,BCUTw-1l,BCUTw-1h,BCUTc-1l,BCUTc-1h,BCUTp-1l,BCUTp-1h,nBase,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,SC-4,FMF,nHBAcc,nHBDon,HybRatio,JPLogP,Kier2,Kier3,khs.sLi,khs.ssBe,khs.ssBH,khs.sssB,khs.sCH3,khs.dCH2,khs.ssCH2,khs.tCH,khs.dsCH,khs.aaCH,khs.sssCH,khs.ddC,khs.dssC,khs.aasC,khs.aaaC,khs.sNH3,khs.sNH2,khs.ssNH2,khs.dNH,khs.ssNH,khs.aaNH,khs.tN,khs.dsN,khs.aaN,khs.sssN,khs.ddsN,khs.aasN,khs.ssssN,khs.sOH,khs.dO,khs.ssO,khs.aaO,khs.sF,khs.sSiH3,khs.ssSiH2,khs.sssSiH,khs.ssssSi,khs.sPH2,khs.ssPH,khs.sssP,khs.dsssP,khs.sssssP,khs.sSH,khs.dS,khs.ssS,khs.aaS,khs.dssS,khs.ddssS,khs.sCl,khs.sGeH3,khs.ssGeH2,khs.sssGeH,khs.ssssGe,khs.sAsH2,khs.ssAsH,khs.sssAs,khs.sssdAs,khs.sssssAs,khs.sSeH,khs.dSe,khs.ssSe,khs.aaSe,khs.dssSe,khs.ddssSe,khs.sBr,khs.sSnH3,khs.ssSnH2,khs.sssSnH,khs.ssssSn,khs.sPbH3,khs.ssPbH2,khs.sssPbH,khs.ssssPb,nAtomLC,nAtomP,nAtomLAC,MDEC-11,MDEC-12,MDEC-13,MDEC-14,MDEC-22,MDEC-33,MDEC-34,MDEC-44,MDEO-11,MDEO-12,MDEO-22,MDEN-11,MDEN-12,MDEN-13,MDEN-22,MDEN-23,MDEN-33,MLogP,topoShape,nRotB,LipinskiFailures,nAromRings,nRingBlocks,nAromBlocks,nRings3,nRings4,nRings5,nRings6,nRings7,nRings8,nRings9,TopoPSA,VAdjMat,WTPT-2,WTPT-3,WTPT-4,WTPT-5,WPATH,XLogP,Zagreb
-3.55,Urea,C(=O)(N)N,312,1.08597241,0,0,-0.1160189134315273,0.023613941263391,0.0,0.0,5.494429638093907,11.97709627705511,16.00596907146819,-0.3670084165286359,0.3743793061520516,3.289279808037084,4.862098247064733,0,0,0,0,0,0,0,0.0,0.0,3,2,0.0,-1.3140594448912375,1.3333333333333333,2.587658721318779,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,1.24,1.0,0,0,0,0,0,0,0,0,0,0,0,0,69.11,2.584962500721156,1.6830127018922194,6.732050807568877,2.2440169358562927,4.4880338717125845,9.0,-1.686,12.0
-3.69,Urea,C(=O)(N)N,312,1.08597241,0,0,-0.1160189134315273,0.023613941263391,0.0,0.0,5.494429638093907,11.97709627705511,16.00596907146819,-0.3670084165286359,0.3743793061520516,3.289279808037084,4.862098247064733,0,0,0,0,0,0,0,0.0,0.0,3,2,0.0,-1.3140594448912375,1.3333333333333333,2.587658721318779,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,1.24,1.0,0,0,0,0,0,0,0,0,0,0,0,0,69.11,2.584962500721156,1.6830127018922194,6.732050807568877,2.2440169358562927,4.4880338717125845,9.0,-1.686,12.0
-3.83,Urea,C(=O)(N)N,312,1.08597241,0,0,-0.1160189134315273,0.023613941263391,0.0,0.0,5.494429638093907,11.97709627705511,16.00596907146819,-0.3670084165286359,0.3743793061520516,3.289279808037084,4.862098247064733,0,0,0,0,0,0,0,0.0,0.0,3,2,0.0,-1.3140594448912375,1.3333333333333333,2.587658721318779,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,1.24,1.0,0,0,0,0,0,0,0,0,0,0,0,0,69.11,2.584962500721156,1.6830127018922194,6.732050807568877,2.2440169358562927,4.4880338717125845,9.0,-1.686,12.0
-3.95,Urea,C(=O)(N)N,312,1.08597241,0,0,-0.1160189134315273,0.023613941263391,0.0,0.0,5.494429638093907,11.97709627705511,16.00596907146819,-0.3670084165286359,0.3743793061520516,3.289279808037084,4.862098247064733,0,0,0,0,0,0,0,0.0,0.0,3,2,0.0,-1.3140594448912375,1.3333333333333333,2.587658721318779,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,1.24,1.0,0,0,0,0,0,0,0,0,0,0,0,0,69.11,2.584962500721156,1.6830127018922194,6.732050807568877,2.2440169358562927,4.4880338717125845,9.0,-1.686,12.0
-3.93,Urea,C(=O)(N)N,312,1.08597241,0,0,-0.1160189134315273,0.023613941263391,0.0,0.0,5.494429638093907,11.97709627705511,16.00596907146819,-0.3670084165286359,0.3743793061520516,3.289279808037084,4.862098247064733,0,0,0,0,0,0,0,0.0,0.0,3,2,0.0,-1.3140594448912375,1.3333333333333333,2.587658721318779,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,1.24,1.0,0,0,0,0,0,0,0,0,0,0,0,0,69.11,2.584962500721156,1.6830127018922194,6.732050807568877,2.2440169358562927,4.4880338717125845,9.0,-1.686,12.0
-3.56,urea,C(=O)(N)N,312,1.08597241,0,0,-0.1160189134315273,0.023613941263391,0.0,0.0,5.494429638093907,11.97709627705511,16.00596907146819,-0.3670084165286359,0.3743793061520516,3.289279808037084,4.862098247064733,0,0,0,0,0,0,0,0.0,0.0,3,2,0.0,-1.3140594448912375,1.3333333333333333,2.587658721318779,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,1.24,1.0,0,0,0,0,0,0,0,0,0,0,0,0,69.11,2.584962500721156,1.6830127018922194,6.732050807568877,2.2440169358562927,4.4880338717125845,9.0,-1.686,12.0
-3.6,urea,C(=O)(N)N,312,1.08597241,0,0,-0.1160189134315273,0.023613941263391,0.0,0.0,5.494429638093907,11.97709627705511,16.00596907146819,-0.3670084165286359,0.3743793061520516,3.289279808037084,4.862098247064733,0,0,0,0,0,0,0,0.0,0.0,3,2,0.0,-1.3140594448912375,1.3333333333333333,2.587658721318779,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,1.24,1.0,0,0,0,0,0,0,0,0,0,0,0,0,69.11,2.584962500721156,1.6830127018922194,6.732050807568877,2.2440169358562927,4.4880338717125845,9.0,-1.686,12.0
-4.0,Mannitol,C(C(C(C(C(CO)O)O)O)O)O,312,8.64477604,0,0,-0.0475455735317769,-0.2852734411906619,6.938893903907228e-18,6.938893903907228e-18,16.646814213245676,11.817763200262526,16.003365301303216,-0.4239115900570646,0.3074093507535078,4.134132285179617,8.053457832047691,0,0,0,0,0,2,4,0.0,0.0,6,6,1.0,-2.674721594598931,5.612244897959184,3.515625,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0.0,0.0,0.0,0.0,0.1999999999999999,3.965406456500188,0.0,0.0,3.6025841963386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.75,5,1,0,0,0,0,0,0,0,0,0,0,121.38,4.459431618637298,1.8443204855705104,14.573455830409983,14.573455830409983,0.0,206.0,-3.896,50.0
-4.19,Mannitol,C(C(C(C(C(CO)O)O)O)O)O,312,8.64477604,0,0,-0.0475455735317769,-0.2852734411906619,6.938893903907228e-18,6.938893903907228e-18,16.646814213245676,11.817763200262526,16.003365301303216,-0.4239115900570646,0.3074093507535078,4.134132285179617,8.053457832047691,0,0,0,0,0,2,4,0.0,0.0,6,6,1.0,-2.674721594598931,5.612244897959184,3.515625,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0.0,0.0,0.0,0.0,0.1999999999999999,3.965406456500188,0.0,0.0,3.6025841963386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.75,5,1,0,0,0,0,0,0,0,0,0,0,121.38,4.459431618637298,1.8443204855705104,14.573455830409983,14.573455830409983,0.0,206.0,-3.896,50.0
-4.96,Mannitol,C(C(C(C(C(CO)O)O)O)O)O,312,8.64477604,0,0,-0.0475455735317769,-0.2852734411906619,6.938893903907228e-18,6.938893903907228e-18,16.646814213245676,11.817763200262526,16.003365301303216,-0.4239115900570646,0.3074093507535078,4.134132285179617,8.053457832047691,0,0,0,0,0,2,4,0.0,0.0,6,6,1.0,-2.674721594598931,5.612244897959184,3.515625,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0.0,0.0,0.0,0.0,0.1999999999999999,3.965406456500188,0.0,0.0,3.6025841963386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.75,5,1,0,0,0,0,0,0,0,0,0,0,121.38,4.459431618637298,1.8443204855705104,14.573455830409983,14.573455830409983,0.0,206.0,-3.896,50.0
