"Compound name","Smiles","logkp (cm/s)","skin source type","skin source site","used layer","skin preparation","storage temperature (°C)","storage duration (days)","neat","donor/skin surface temperature (°C)","donor pH","donor type","acceptor temperature (°C)","acceptor pH","acceptor type","cell type","reference","DOI","LogP","molecular weight"
Butyl 4-hydroxybenzoat,CCCCOC(=O)c1ccc(cc1)O,-4.538,Abdominoplasty,abdomen,epidermis,heat separation,unknown,unknown,0,32,7.4,PBS,37,unknown,PBS,Franz cell,"Akomeah, 2007",10.1002/jps.20773,2.3491000000000004,194.094294308
Caffeine,Cn1cnc2c1c(=O)n(C)c(=O)n2C,-7.053,Abdominoplasty,abdomen,epidermis,heat separation,unknown,unknown,0,32,7.4,PBS,37,unknown,PBS,Franz cell,"Akomeah, 2007",10.1002/jps.20773,-1.0293,194.08037556
Methyl 4-hydroxybenzoate,COC(=O)c1ccc(cc1)O,-5.23,Abdominoplasty,abdomen,epidermis,heat separation,unknown,unknown,0,32,7.4,PBS,37,unknown,PBS,Franz cell,"Akomeah, 2007",10.1002/jps.20773,1.1788,152.047344116
Fluocinonide,CC(=O)OCC(=O)[C@@]12OC(O[C@@H]1C[C@@H]1[C@]2(C)C[C@H](O)[C@]2([C@H]1C[C@@H](C1=CC(=O)C=C[C@]21C)F)F)(C)C,-6.326,Abdominoplasty or cadaver,unknown,stratum corneum,dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,2.9376000000000007,494.211609804
Fluocinonide,CC(=O)OCC(=O)[C@@]12OC(O[C@@H]1C[C@@H]1[C@]2(C)C[C@H](O)[C@]2([C@H]1C[C@@H](C1=CC(=O)C=C[C@]21C)F)F)(C)C,-6.326,Abdominoplasty or cadaver,unknown,"epidermis, dermis",dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,2.9376000000000007,494.211609804
Hydrocortisone 21-Hemisuccinate,OC(=O)CCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,-6.757,Abdominoplasty or cadaver,unknown,stratum corneum,dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,2.1972999999999985,462.22536804799995
Hydrocortisone 21-Hemipimelate,OC(=O)CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,-6.301,Abdominoplasty or cadaver,unknown,stratum corneum,dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,3.3676000000000013,504.27231823999995
Hydrocortisone 21-Hexanoate,CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,-5.301,Abdominoplasty or cadaver,unknown,stratum corneum,dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,3.9128000000000034,460.28248899999994
Hydrocortisone 21-(6-hydroxyhexanoate),OCCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,-6.597,Abdominoplasty or cadaver,unknown,stratum corneum,dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,2.885200000000001,476.27740362
Hydrocortisone 21-methylpimelate,COC(=O)CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,-5.824,Abdominoplasty or cadaver,unknown,stratum corneum,dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,3.4560000000000013,518.287968304
Hydrocortisone 21-methylsuccinate,COC(=O)CCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,-7.234,Abdominoplasty or cadaver,unknown,stratum corneum,dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,2.2856999999999985,476.24101811199995
"Hydrocortisone 21-(N,N-dimethylsuccinamate)",O=C(CCC(=O)N(C)C)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,-7.73,Abdominoplasty or cadaver,unknown,stratum corneum,dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,2.200899999999999,489.27265258799997
Hydrocortisone 21-octanoate,CCCCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,-4.764,Abdominoplasty or cadaver,unknown,stratum corneum,dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,4.693000000000005,488.31378912799994
Hydrocortisone 21-pimelamate,NC(=O)CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,-6.607,Abdominoplasty or cadaver,unknown,stratum corneum,dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,2.7683,503.28830265199997
Hydrocortisone 21-propionate,CCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,-6.038,Abdominoplasty or cadaver,unknown,"epidermis, dermis",dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,2.7425000000000006,418.235538808
Hydrocortisone 21-propionate,CCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,-6.025,Abdominoplasty or cadaver,unknown,stratum corneum,dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,2.7425000000000006,418.235538808
Hydrocortisone 21-succinamate,NC(=O)CCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,-8.141,Abdominoplasty or cadaver,unknown,stratum corneum,dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,1.5979999999999988,461.24135246
Sucrose,OC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CO)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O,-8.583,Abdominoplasty or cadaver,unknown,stratum corneum,dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,-5.395599999999993,342.11621152399994
