logkpl,Compound,SMILES,Texpi,ALogP,ALogp2,AMR,apol,nAcid,naAromAtom,nAromBond,nAtom,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,BCUTw-1l,BCUTw-1h,BCUTc-1l,BCUTc-1h,BCUTp-1l,BCUTp-1h,bpol,nBase,nB,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,SCH-3,SCH-4,SCH-5,SCH-6,SCH-7,VCH-3,VCH-4,VCH-5,VCH-6,VCH-7,SC-3,SC-4,SC-5,SC-6,VC-3,VC-4,VC-5,VC-6,SPC-4,SPC-5,SPC-6,VPC-4,VPC-5,VPC-6,SP-0,SP-1,SP-2,SP-3,SP-4,SP-5,SP-6,SP-7,VP-0,VP-1,VP-2,VP-3,VP-4,VP-5,VP-6,VP-7,ECCEN,FMF,Fsp3,fragC,nHBAcc,nHBDon,HybRatio,JPLogP,Kier1,Kier2,Kier3,khs.sLi,khs.ssBe,khs.ssssBe,khs.ssBH,khs.sssB,khs.ssssB,khs.sCH3,khs.dCH2,khs.ssCH2,khs.tCH,khs.dsCH,khs.aaCH,khs.sssCH,khs.ddC,khs.tsC,khs.dssC,khs.aasC,khs.aaaC,khs.ssssC,khs.sNH3,khs.sNH2,khs.ssNH2,khs.dNH,khs.ssNH,khs.aaNH,khs.tN,khs.sssNH,khs.dsN,khs.aaN,khs.sssN,khs.ddsN,khs.aasN,khs.ssssN,khs.sOH,khs.dO,khs.ssO,khs.aaO,khs.sF,khs.sSiH3,khs.ssSiH2,khs.sssSiH,khs.ssssSi,khs.sPH2,khs.ssPH,khs.sssP,khs.dsssP,khs.sssssP,khs.sSH,khs.dS,khs.ssS,khs.aaS,khs.dssS,khs.ddssS,khs.sCl,khs.sGeH3,khs.ssGeH2,khs.sssGeH,khs.ssssGe,khs.sAsH2,khs.ssAsH,khs.sssAs,khs.sssdAs,khs.sssssAs,khs.sSeH,khs.dSe,khs.ssSe,khs.aaSe,khs.dssSe,khs.ddssSe,khs.sBr,khs.sSnH3,khs.ssSnH2,khs.sssSnH,khs.ssssSn,khs.sI,khs.sPbH3,khs.ssPbH2,khs.sssPbH,khs.ssssPb,nAtomLC,nAtomP,nAtomLAC,MDEC-11,MDEC-12,MDEC-13,MDEC-14,MDEC-22,MDEC-23,MDEC-24,MDEC-33,MDEC-34,MDEC-44,MDEO-11,MDEO-12,MDEO-22,MDEN-11,MDEN-12,MDEN-13,MDEN-22,MDEN-23,MDEN-33,MLogP,PetitjeanNumber,topoShape,nRotB,LipinskiFailures,nSmallRings,nAromRings,nRingBlocks,nAromBlocks,nRings3,nRings4,nRings5,nRings6,nRings7,nRings8,nRings9,TopoPSA,VABC,VAdjMat,MW,WTPT-1,WTPT-2,WTPT-3,WTPT-4,WTPT-5,WPATH,WPOL,XLogP,Zagreb
-3.55,Urea,C(=O)(N)N,312,-1.0421,1.08597241,13.1426,7.429172000000001,0,0,0,8,0.1848099443362725,-0.1160189134315273,0.023613941263391,0.0,0.0,5.494429638093907,3.664455843493455,4.466903495409713,0.0,0.0,69.74598550000002,56.51425600000002,45.862063250000006,0.0,0.0,11.97709627705511,16.00596907146819,-0.3670084165286359,0.3743793061520516,3.289279808037084,4.862098247064733,4.010828000000001,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773502691896258,0.0,0.0,0.0,0.0680413817439771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5773502691896257,1.7320508075688776,1.7320508075688776,0.0,0.0,0.0,0.0,0.0,2.0629488288431146,0.7814744144215573,0.4023689270621825,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,37.03,3,2,0.0,-1.3140594448912375,4.0,1.3333333333333333,2.587658721318779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,1.24,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.11,53.99973174276123,2.584962500721156,60.05531025373256,6.732050807568878,1.6830127018922194,6.732050807568877,2.2440169358562927,4.4880338717125845,9.0,0.0,-1.686,12.0
-3.69,Urea,C(=O)(N)N,312,-1.0421,1.08597241,13.1426,7.429172000000001,0,0,0,8,0.1848099443362725,-0.1160189134315273,0.023613941263391,0.0,0.0,5.494429638093907,3.664455843493455,4.466903495409713,0.0,0.0,69.74598550000002,56.51425600000002,45.862063250000006,0.0,0.0,11.97709627705511,16.00596907146819,-0.3670084165286359,0.3743793061520516,3.289279808037084,4.862098247064733,4.010828000000001,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773502691896258,0.0,0.0,0.0,0.0680413817439771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5773502691896257,1.7320508075688776,1.7320508075688776,0.0,0.0,0.0,0.0,0.0,2.0629488288431146,0.7814744144215573,0.4023689270621825,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,37.03,3,2,0.0,-1.3140594448912375,4.0,1.3333333333333333,2.587658721318779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,1.24,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.11,53.99973174276123,2.584962500721156,60.05531025373256,6.732050807568878,1.6830127018922194,6.732050807568877,2.2440169358562927,4.4880338717125845,9.0,0.0,-1.686,12.0
-3.83,Urea,C(=O)(N)N,312,-1.0421,1.08597241,13.1426,7.429172000000001,0,0,0,8,0.1848099443362725,-0.1160189134315273,0.023613941263391,0.0,0.0,5.494429638093907,3.664455843493455,4.466903495409713,0.0,0.0,69.74598550000002,56.51425600000002,45.862063250000006,0.0,0.0,11.97709627705511,16.00596907146819,-0.3670084165286359,0.3743793061520516,3.289279808037084,4.862098247064733,4.010828000000001,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773502691896258,0.0,0.0,0.0,0.0680413817439771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5773502691896257,1.7320508075688776,1.7320508075688776,0.0,0.0,0.0,0.0,0.0,2.0629488288431146,0.7814744144215573,0.4023689270621825,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,37.03,3,2,0.0,-1.3140594448912375,4.0,1.3333333333333333,2.587658721318779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,1.24,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.11,53.99973174276123,2.584962500721156,60.05531025373256,6.732050807568878,1.6830127018922194,6.732050807568877,2.2440169358562927,4.4880338717125845,9.0,0.0,-1.686,12.0
-3.95,Urea,C(=O)(N)N,312,-1.0421,1.08597241,13.1426,7.429172000000001,0,0,0,8,0.1848099443362725,-0.1160189134315273,0.023613941263391,0.0,0.0,5.494429638093907,3.664455843493455,4.466903495409713,0.0,0.0,69.74598550000002,56.51425600000002,45.862063250000006,0.0,0.0,11.97709627705511,16.00596907146819,-0.3670084165286359,0.3743793061520516,3.289279808037084,4.862098247064733,4.010828000000001,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773502691896258,0.0,0.0,0.0,0.0680413817439771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5773502691896257,1.7320508075688776,1.7320508075688776,0.0,0.0,0.0,0.0,0.0,2.0629488288431146,0.7814744144215573,0.4023689270621825,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,37.03,3,2,0.0,-1.3140594448912375,4.0,1.3333333333333333,2.587658721318779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,1.24,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.11,53.99973174276123,2.584962500721156,60.05531025373256,6.732050807568878,1.6830127018922194,6.732050807568877,2.2440169358562927,4.4880338717125845,9.0,0.0,-1.686,12.0
-3.93,Urea,C(=O)(N)N,312,-1.0421,1.08597241,13.1426,7.429172000000001,0,0,0,8,0.1848099443362725,-0.1160189134315273,0.023613941263391,0.0,0.0,5.494429638093907,3.664455843493455,4.466903495409713,0.0,0.0,69.74598550000002,56.51425600000002,45.862063250000006,0.0,0.0,11.97709627705511,16.00596907146819,-0.3670084165286359,0.3743793061520516,3.289279808037084,4.862098247064733,4.010828000000001,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773502691896258,0.0,0.0,0.0,0.0680413817439771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5773502691896257,1.7320508075688776,1.7320508075688776,0.0,0.0,0.0,0.0,0.0,2.0629488288431146,0.7814744144215573,0.4023689270621825,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,37.03,3,2,0.0,-1.3140594448912375,4.0,1.3333333333333333,2.587658721318779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,1.24,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.11,53.99973174276123,2.584962500721156,60.05531025373256,6.732050807568878,1.6830127018922194,6.732050807568877,2.2440169358562927,4.4880338717125845,9.0,0.0,-1.686,12.0
-3.56,urea,C(=O)(N)N,312,-1.0421,1.08597241,13.1426,7.429172000000001,0,0,0,8,0.1848099443362725,-0.1160189134315273,0.023613941263391,0.0,0.0,5.494429638093907,3.664455843493455,4.466903495409713,0.0,0.0,69.74598550000002,56.51425600000002,45.862063250000006,0.0,0.0,11.97709627705511,16.00596907146819,-0.3670084165286359,0.3743793061520516,3.289279808037084,4.862098247064733,4.010828000000001,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773502691896258,0.0,0.0,0.0,0.0680413817439771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5773502691896257,1.7320508075688776,1.7320508075688776,0.0,0.0,0.0,0.0,0.0,2.0629488288431146,0.7814744144215573,0.4023689270621825,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,37.03,3,2,0.0,-1.3140594448912375,4.0,1.3333333333333333,2.587658721318779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,1.24,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.11,53.99973174276123,2.584962500721156,60.05531025373256,6.732050807568878,1.6830127018922194,6.732050807568877,2.2440169358562927,4.4880338717125845,9.0,0.0,-1.686,12.0
-3.6,urea,C(=O)(N)N,312,-1.0421,1.08597241,13.1426,7.429172000000001,0,0,0,8,0.1848099443362725,-0.1160189134315273,0.023613941263391,0.0,0.0,5.494429638093907,3.664455843493455,4.466903495409713,0.0,0.0,69.74598550000002,56.51425600000002,45.862063250000006,0.0,0.0,11.97709627705511,16.00596907146819,-0.3670084165286359,0.3743793061520516,3.289279808037084,4.862098247064733,4.010828000000001,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773502691896258,0.0,0.0,0.0,0.0680413817439771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5773502691896257,1.7320508075688776,1.7320508075688776,0.0,0.0,0.0,0.0,0.0,2.0629488288431146,0.7814744144215573,0.4023689270621825,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,37.03,3,2,0.0,-1.3140594448912375,4.0,1.3333333333333333,2.587658721318779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,1.24,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.11,53.99973174276123,2.584962500721156,60.05531025373256,6.732050807568878,1.6830127018922194,6.732050807568877,2.2440169358562927,4.4880338717125845,9.0,0.0,-1.686,12.0
-4.0,Mannitol,C(C(C(C(C(CO)O)O)O)O)O,312,-2.9402,8.64477604,38.4036,24.707101999999978,0,0,0,26,0.5705468823813238,-0.0475455735317769,-0.2852734411906619,6.938893903907228e-18,6.938893903907228e-18,16.646814213245676,12.992551862795384,17.32091977132564,22.529080994765245,17.090428004959172,439.6816501739504,470.2303013127444,564.3644456044925,544.3644724855958,378.4392440083009,11.817763200262526,16.003365301303216,-0.4239115900570646,0.3074093507535078,4.134132285179617,8.053457832047691,15.304897999999994,0,11,0,0,0,0,0,2,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8563047002507822,0.0,0.3832766380870198,0.0,0.382951103842666,0.0,0.0766553276174039,0.0,2.479162676675604,2.8608157733898927,3.169542336943397,0.6853349268803774,0.5940300419160408,0.5193487301866357,9.723614639131595,5.540111220059325,4.489297862106234,3.91238261951631,1.7799928166884995,0.7531018741699298,0.2682459513747883,0.0555555555555555,6.406896212131348,3.4817476719500458,2.48102863459092,1.5124781619578973,0.6712088270938982,0.2727565569582208,0.0811173675527307,0.0111111111111111,114,0.0,1.0,493.06,6,6,1.0,-2.674721594598931,12.0,5.612244897959184,3.515625,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0.0,0.0,0.0,0.0,0.1999999999999999,3.61440801443938,0.0,3.965406456500188,0.0,0.0,3.6025841963386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.4285714285714285,0.75,5,1,0,0,0,0,0,0,0,0,0,0,0,121.38,165.07372665936668,4.459431618637298,182.1720154997053,22.131845826846124,1.8443204855705104,14.573455830409983,14.573455830409983,0.0,206.0,16.0,-3.896,50.0
-4.19,Mannitol,C(C(C(C(C(CO)O)O)O)O)O,312,-2.9402,8.64477604,38.4036,24.707101999999978,0,0,0,26,0.5705468823813238,-0.0475455735317769,-0.2852734411906619,6.938893903907228e-18,6.938893903907228e-18,16.646814213245676,12.992551862795384,17.32091977132564,22.529080994765245,17.090428004959172,439.6816501739504,470.2303013127444,564.3644456044925,544.3644724855958,378.4392440083009,11.817763200262526,16.003365301303216,-0.4239115900570646,0.3074093507535078,4.134132285179617,8.053457832047691,15.304897999999994,0,11,0,0,0,0,0,2,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8563047002507822,0.0,0.3832766380870198,0.0,0.382951103842666,0.0,0.0766553276174039,0.0,2.479162676675604,2.8608157733898927,3.169542336943397,0.6853349268803774,0.5940300419160408,0.5193487301866357,9.723614639131595,5.540111220059325,4.489297862106234,3.91238261951631,1.7799928166884995,0.7531018741699298,0.2682459513747883,0.0555555555555555,6.406896212131348,3.4817476719500458,2.48102863459092,1.5124781619578973,0.6712088270938982,0.2727565569582208,0.0811173675527307,0.0111111111111111,114,0.0,1.0,493.06,6,6,1.0,-2.674721594598931,12.0,5.612244897959184,3.515625,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0.0,0.0,0.0,0.0,0.1999999999999999,3.61440801443938,0.0,3.965406456500188,0.0,0.0,3.6025841963386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.4285714285714285,0.75,5,1,0,0,0,0,0,0,0,0,0,0,0,121.38,165.07372665936668,4.459431618637298,182.1720154997053,22.131845826846124,1.8443204855705104,14.573455830409983,14.573455830409983,0.0,206.0,16.0,-3.896,50.0
-4.0,Mannitol,C(C(C(C(C(CO)O)O)O)O)O,312,-2.9402,8.64477604,38.4036,24.707101999999978,0,0,0,26,0.5705468823813238,-0.0475455735317769,-0.2852734411906619,6.938893903907228e-18,6.938893903907228e-18,16.646814213245676,12.992551862795384,17.32091977132564,22.529080994765245,17.090428004959172,439.6816501739504,470.2303013127444,564.3644456044925,544.3644724855958,378.4392440083009,11.817763200262526,16.003365301303216,-0.4239115900570646,0.3074093507535078,4.134132285179617,8.053457832047691,15.304897999999994,0,11,0,0,0,0,0,2,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8563047002507822,0.0,0.3832766380870198,0.0,0.382951103842666,0.0,0.0766553276174039,0.0,2.479162676675604,2.8608157733898927,3.169542336943397,0.6853349268803774,0.5940300419160408,0.5193487301866357,9.723614639131595,5.540111220059325,4.489297862106234,3.91238261951631,1.7799928166884995,0.7531018741699298,0.2682459513747883,0.0555555555555555,6.406896212131348,3.4817476719500458,2.48102863459092,1.5124781619578973,0.6712088270938982,0.2727565569582208,0.0811173675527307,0.0111111111111111,114,0.0,1.0,493.06,6,6,1.0,-2.674721594598931,12.0,5.612244897959184,3.515625,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0.0,0.0,0.0,0.0,0.1999999999999999,3.61440801443938,0.0,3.965406456500188,0.0,0.0,3.6025841963386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.4285714285714285,0.75,5,1,0,0,0,0,0,0,0,0,0,0,0,121.38,165.07372665936668,4.459431618637298,182.1720154997053,22.131845826846124,1.8443204855705104,14.573455830409983,14.573455830409983,0.0,206.0,16.0,-3.896,50.0
