SMILES,Texpi
C(=O)(N)N,312
C(=O)(N)N,300
C(=O)(N)N,310
C(=O)(N)N,310
C(=O)(N)N,310
C(=O)(N)N,310
C(=O)(N)N,310
C(C(C(C(C(CO)O)O)O)O)O,312
C(C(C(C(C(CO)O)O)O)O)O,300
C(C(C(C(C(CO)O)O)O)O)O,303
C(C(C(C(C(CO)O)O)O)O)O,305
C(C(C(C(C(CO)O)O)O)O)O,305
C(C(C(C(C(CO)O)O)O)O)O,305
C(C(C(C(C(CO)O)O)O)O)O,304
C(C(C(C(C(CO)O)O)O)O)O,304
C(C(C(C(C(CO)O)O)O)O)O,310
C(C(C(C(C(CO)O)O)O)O)O,310
C(C(C(C(C(CO)O)O)O)O)O,310
C(C(C(C(C(CO)O)O)O)O)O,310
C(C(C(C(C(CO)O)O)O)O)O,298
C(C(CO)O)O,310
C(C(CO)O)O,310
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,310
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,298
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,310
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,310
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,310
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,310
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,310
C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)O,310
C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)O,310
C[N+](C)(C)C1=CC2=C(C=C1)C=CC(=C2N=NC3=CC=CC=C3OC)O,305
C1=C(C(=O)NC(=O)N1)F,305
C1=C(C(=O)NC(=O)N1)F,305
C1=C(C(=O)NC(=O)N1)F,305
C1=C(C(=O)NC(=O)N1)F,305
C1=C(C(=O)NC(=O)N1)F,305
C1=C(C(=O)NC(=O)N1)F,305
C1=C(C(=O)NC(=O)N1)F,305
C1=C(C(=O)NC(=O)N1)F,305
C1=C(C(=O)NC(=O)N1)F,305
C1=C(C(=O)NC(=O)N1)F,305
C1=C(C(=O)NC(=O)N1)F,305
C1=C(C(=O)NC(=O)N1)F,305
C1=C(C(=O)NC(=O)N1)F,305
C1=C(C(=O)NC(=O)N1)F,305
C1=C(C(=O)NC(=O)N1)F,305
C1=C(C(=O)NC(=O)N1)F,305
C1=C(C(=O)NC(=O)N1)F,305
C1=C(C(=O)NC(=O)N1)F,305
C1=C(C(=O)NC(=O)N1)F,305
C1=C(C(=O)NC(=O)N1)F,305
C1=C(C(=O)NC(=O)N1)F,305
C1=C(C(=O)NC(=O)N1)F,305
C1=C(C(=O)NC(=O)N1)F,305
C1=C(C=C(C(=C1Cl)O)Cl)Cl,298
C1=C(C=C(C=C1O)O)O,310
C1=CC(=C(C(=C1)O)O)O,310
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,305
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,305
C1=CC(=C(C=C1Cl)Cl)O,298
C1=CC(=C(C=C1Cl)Cl)O,310
C1=CC(=C(C=C1Cl)Cl)O,310
C1=CC(=C(C=C1Cl)Cl)O,310
C1=CC(=C(C=C1Cl)Cl)O,310
C1=CC(=C(C=C1N)[N+](=O)[O-])NCCO,305
C1=CC(=C(C=C1N)[N+](=O)[O-])NCCO,305
C1=CC(=C(C=C1N)[N+](=O)[O-])O,305
C1=CC(=C(C=C1O)[N+](=O)[O-])N,305
C1=CC(=C(C=C1O)[N+](=O)[O-])N,305
C1=CC(=C(C=C1O)O)O,310
C1=CC(=CC(=C1)O)[N+](=O)[O-],298
C1=CC(=CC(=C1)O)O,298
