model,artifact_path,r2,rmse,mae,cv_mae,mae_ci_low,mae_ci_high
LGBM,/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/improved/LGBM.joblib,0.4447197583930941,0.6905121990026661,0.47564964033385043,0.7212851805410166,0.3488978882503935,0.6135953858057632
CatBoost,/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/improved/CatBoost.joblib,0.5180617615684542,0.6432961292894813,0.4789183222167303,0.6731252527920528,0.36912673993657574,0.5976533034131613
RF,/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/improved/RF.joblib,0.3968042622921568,0.7196881921869387,0.48134924446015753,0.6444714401174008,0.34112546223541235,0.6232967467953138
Gradient Boosting,/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/improved/Gradient_Boosting.joblib,0.43368779653217837,0.6973377971178546,0.49718895606047586,0.7006834674364801,0.3736640754588434,0.627406654855087
XGBoost,/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/improved/XGBoost.joblib,0.3832920564653176,0.7277044262453076,0.5128498051166535,0.6896158481670284,0.383523525428772,0.6499281046609083
Stacking Regressor,/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/improved/StackingRegressor.joblib,0.30276430066462356,0.7737578231450354,0.5571958145004364,0.6724289690524966,0.42232122527557475,0.7045988857614202
Decision Tree,/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/improved/Decision_Tree.joblib,0.1380384142432114,0.8603183793873167,0.5871871022778944,0.7403256949164044,0.4249564269569999,0.7592647874140077
Lasso,/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/improved/Lasso.joblib,0.17743401118134106,0.8404282060274013,0.5945222515050946,0.7617209730709122,0.4532272422395956,0.7520179480338953
SVR (RBF),/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/improved/SVR_RBF.joblib,0.31000937089097425,0.7697272141821089,0.6518979913366965,0.7139171457521827,0.5506593419924437,0.7564087551953288
MLR,/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/improved/MLR.joblib,-364.36539368758974,17.712462763836598,8.172418104556632,12.3229267849734,4.139878289592152,12.468496928343892
