model,artifact_path,r2,rmse,mae,cv_mae,mae_ci_low,mae_ci_high
Gradient Boosting,/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/paper_baseline/Gradient_Boosting.joblib,0.8124475932239816,0.4451163414244178,0.27804954100923207,0.43979953123115123,0.20500117681665755,0.3750071132088141
LGBM,/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/paper_baseline/LGBM.joblib,0.8167137165569853,0.440024846768639,0.28415006545252836,0.44577042050404153,0.2126071870984095,0.3766230648416984
SVR (RBF),/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/paper_baseline/SVR_RBF.joblib,0.7987920800532846,0.4610359097595977,0.2888466870757329,0.4349823271098828,0.2124778553265132,0.38640477212030977
CatBoost,/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/paper_baseline/CatBoost.joblib,0.7949537401017125,0.46541260776890236,0.29682826396686873,0.43081870587896987,0.21854577090749705,0.39317134396638925
XGBoost,/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/paper_baseline/XGBoost.joblib,0.7802343764780274,0.48182807051318893,0.30472659852769646,0.45000002420960783,0.2211842418208955,0.40784573320736967
Decision Tree,/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/paper_baseline/Decision_Tree.joblib,0.7680694540543888,0.49498403661168383,0.3135287111477587,0.47154016292558787,0.22519162286126568,0.4175356971071258
Lasso,/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/paper_baseline/Lasso.joblib,0.7912453940362136,0.4696023387532589,0.31436436824771563,0.5365615395334555,0.23820987680613115,0.414590778968283
ANN,/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/paper_baseline/ANN/ann_model.keras,0.7593282784460986,0.5042254359735912,0.3173102366356623,,,
RF,/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/paper_baseline/RF.joblib,0.7873849909649513,0.4739245184754773,0.3177677310839298,0.44113113337855314,0.23701843416267787,0.409382926860377
MLR (10 features),/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/paper_baseline/MLR_10_features.joblib,0.6460336813410316,0.6114953902119289,0.4302721952427674,0.5216241416034151,,
