Model,Required_Descriptor,Feature_Position,Original_CSV_Column,Present_In_Original_CSV,Reused_Existing_Value_Count,Generated_Using_RDKit,RDKit_Generated_Count,Generated_Using_CDK,CDK_Generated_Count,Training_Reference_Imputed_Count,Missing_Before_Processing,Missing_After_RDKit,Missing_After_Processing,Calculation_Succeeded,Unsupported_By_RDKit,Unsupported_Reason,Affected_Compound_Count,Notes
CatBoost,Texpi,1,donor/skin surface temperature (°C),True,391,False,0,False,0,155,155,155,0,True,False,,155,Converted Celsius values to Kelvin; values already >=200 were treated as Kelvin.
CatBoost,ALogp2,2,,False,0,False,0,True,546,0,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,nAcid,3,,False,0,False,0,True,546,0,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,nAromBond,4,,False,0,False,0,True,546,0,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,ATSc2,5,,False,0,False,0,True,543,3,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,ATSc3,6,,False,0,False,0,True,543,3,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,ATSc4,7,,False,0,False,0,True,543,3,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,ATSc5,8,,False,0,False,0,True,543,3,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,ATSm1,9,,False,0,False,0,True,546,0,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,BCUTw-1l,10,,False,0,False,0,True,543,3,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,BCUTw-1h,11,,False,0,False,0,True,543,3,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,BCUTc-1l,12,,False,0,False,0,True,543,3,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,BCUTc-1h,13,,False,0,False,0,True,543,3,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,BCUTp-1l,14,,False,0,False,0,True,543,3,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,BCUTp-1h,15,,False,0,False,0,True,543,3,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,nBase,16,,False,0,False,0,True,546,0,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,C2SP1,17,,False,0,False,0,True,546,0,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,C1SP2,18,,False,0,False,0,True,546,0,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,C2SP2,19,,False,0,False,0,True,546,0,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,C3SP2,20,,False,0,False,0,True,546,0,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,C1SP3,21,,False,0,False,0,True,546,0,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,C2SP3,22,,False,0,False,0,True,546,0,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,SC-4,23,,False,0,False,0,True,546,0,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,FMF,24,,False,0,False,0,True,546,0,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,nHBAcc,25,,False,0,False,0,True,546,0,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,nHBDon,26,,False,0,False,0,True,546,0,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,HybRatio,27,,False,0,False,0,True,528,18,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,JPLogP,28,,False,0,False,0,True,531,15,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,Kier2,29,,False,0,False,0,True,546,0,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,Kier3,30,,False,0,False,0,True,536,10,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,khs.sLi,31,,False,0,True,546,False,0,0,546,0,0,True,False,,546,
CatBoost,khs.ssBe,32,,False,0,True,546,False,0,0,546,0,0,True,False,,546,
CatBoost,khs.ssBH,33,,False,0,True,546,False,0,0,546,0,0,True,False,,546,
CatBoost,khs.sssB,34,,False,0,True,546,False,0,0,546,0,0,True,False,,546,
CatBoost,khs.sCH3,35,,False,0,True,546,False,0,0,546,0,0,True,False,,546,
CatBoost,khs.dCH2,36,,False,0,True,546,False,0,0,546,0,0,True,False,,546,
CatBoost,khs.ssCH2,37,,False,0,False,0,True,546,0,546,546,0,True,True,No exact RDKit implementation consistent with the CDK training definition; the repository's original CDK generator was used.,546,
CatBoost,khs.tCH,38,,False,0,True,546,False,0,0,546,0,0,True,False,,546,
