Model,Prediction_Column,Artifact_Path,Model_Native_Unit,Output_Unit,Prediction_Unit_Offset,Evaluated_Compounds,R2,RMSE,MAE,Bias,Pearson_r,Spearman_rho
LGBM,Predicted_logKp_LGBM,/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/benchmark/LGBM.joblib,cm/h,cm/s,-3.5563025007672873,546,0.2687059218141301,1.1689867526567193,0.7532652648526539,0.24365916658883277,0.5514943931722271,0.5922265112858666
Ensemble,Predicted_logKp_Ensemble,"MeanEnsemble.json: CatBoost, ExtraTrees, HistGradientBoosting, LGBM, XGBoost",cm/h,cm/s,-3.5563025007672873,546,0.2543192142005536,1.180429454440136,0.760895420555987,0.2607407054000564,0.541850819820229,0.5764843412344585
CatBoost,Predicted_logKp_CatBoost,/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/benchmark/CatBoost.joblib,cm/h,cm/s,-3.5563025007672873,546,0.2542890137541661,1.1804533581910328,0.777469559918927,0.26045701076652206,0.539866149105332,0.5696367854096223
XGBoost,Predicted_logKp_XGBoost,/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/benchmark/XGBoost.joblib,cm/h,cm/s,-3.5563025007672873,546,0.25366812088049684,1.1809446896793323,0.7621701628742154,0.25812864672643454,0.5427242289804286,0.5860925958287999
RF,Predicted_logKp_RandomForest,/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/benchmark/RF.joblib,cm/h,cm/s,-3.5563025007672873,546,0.2490574216786282,1.184586901172406,0.770674864002066,0.24176924190531554,0.5333049151818231,0.5715155291902282
ExtraTrees,Predicted_logKp_ExtraTrees,/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/benchmark/ExtraTrees.joblib,cm/h,cm/s,-3.5563025007672873,546,0.2226665471237066,1.205222526542662,0.7802573315969875,0.2566273234039544,0.5165787232059456,0.5508955415128107
HistGradientBoosting,Predicted_logKp_HistGradientBoosting,/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/benchmark/HistGradientBoosting.joblib,cm/h,cm/s,-3.5563025007672873,546,0.21709792635447622,1.209531777795524,0.7908594914019877,0.28483137951453835,0.5193525146645531,0.5516899899066232
Gradient Boosting,Predicted_logKp_GradientBoosting,/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/benchmark/Gradient_Boosting.joblib,cm/h,cm/s,-3.5563025007672873,546,0.203261262582902,1.2201733291172072,0.7831896660560377,0.2605798039925336,0.5011146209856591,0.5397337442610112
SVR (RBF),Predicted_logKp_SVR_RBF,/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/benchmark/SVR_RBF.joblib,cm/h,cm/s,-3.5563025007672873,546,0.1136265647684489,1.2869803829850377,0.8655673671838213,0.3345067875360493,0.44528782142544965,0.4813876854880002
StackingRegressor,Predicted_logKp_StackingRegressor,/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/benchmark/StackingRegressor.joblib,cm/h,cm/s,-3.5563025007672873,546,-0.1778013040851265,1.4835410802355442,1.0066631471011644,0.3647083321697263,0.36551417278032633,0.4100812834004296
ElasticNet,Predicted_logKp_ElasticNet,/Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/benchmark/ElasticNet.joblib,cm/h,cm/s,-3.5563025007672873,546,-6.4732408454066235,3.7369565707200985,1.5124836390800593,0.9248315773773753,0.10075799768521307,0.4229748045270164
