2026-07-17 19:46:24,521 | INFO | skin_permeation.huskin | Dataset: /Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/data/huskinDB/huskinDB.csv
2026-07-17 19:46:24,524 | INFO | skin_permeation.huskin | Loaded 546 rows and 21 original columns.
2026-07-17 19:46:24,524 | INFO | skin_permeation.huskin | Detected SMILES column='Smiles'; experimental logKp column='logkp (cm/s)'.
2026-07-17 19:46:24,524 | INFO | skin_permeation.huskin | Model target unit=cm/h; output unit=cm/s; additive prediction offset=-3.556302500767.
2026-07-17 19:46:25,541 | INFO | skin_permeation.huskin | Loaded CatBoost from /Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/benchmark/CatBoost.joblib (joblib): 146 ordered features; embedded Pipeline: corr (CorrelationFilter) -> selector (SelectKBest) -> model (CatBoostRegressor)
2026-07-17 19:46:25,541 | INFO | skin_permeation.huskin | Loaded ElasticNet from /Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/benchmark/ElasticNet.joblib (joblib): 146 ordered features; embedded Pipeline: corr (CorrelationFilter) -> scaler (RobustScaler) -> selector (SelectKBest) -> model (ElasticNet)
2026-07-17 19:46:25,541 | INFO | skin_permeation.huskin | Loaded ExtraTrees from /Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/benchmark/ExtraTrees.joblib (joblib): 146 ordered features; embedded Pipeline: corr (CorrelationFilter) -> selector (SelectKBest) -> model (ExtraTreesRegressor)
2026-07-17 19:46:25,541 | INFO | skin_permeation.huskin | Loaded Gradient Boosting from /Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/benchmark/Gradient_Boosting.joblib (joblib): 146 ordered features; embedded Pipeline: corr (CorrelationFilter) -> selector (SelectKBest) -> model (GradientBoostingRegressor)
2026-07-17 19:46:25,541 | INFO | skin_permeation.huskin | Loaded HistGradientBoosting from /Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/benchmark/HistGradientBoosting.joblib (joblib): 146 ordered features; embedded Pipeline: corr (CorrelationFilter) -> selector (SelectKBest) -> model (HistGradientBoostingRegressor)
2026-07-17 19:46:25,541 | INFO | skin_permeation.huskin | Loaded LGBM from /Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/benchmark/LGBM.joblib (joblib): 146 ordered features; embedded Pipeline: corr (CorrelationFilter) -> selector (SelectKBest) -> model (LGBMRegressor)
2026-07-17 19:46:25,541 | INFO | skin_permeation.huskin | Loaded RF from /Users/tanvir/Desktop/skin/skin-permeation-reproduction-project/models/reproduction/benchmark/RF.joblib (joblib): 146 ordered features; embedded Pipeline: corr (CorrelationFilter) -> selector (SelectKBest) -> model (RandomForestRegressor)
