Variability_Rank,Canonical_SMILES,Compound_Name,Selected_Measurements,Experimental_Min,Experimental_Max,Experimental_Mean,Experimental_Median,Experimental_SD,Predicted_Min,Predicted_Max,Condition_Signatures,References,DOIs,Experimental_Range,Experimental_Fold_Range_Kp,Predicted_Range,Variability_Band
1,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,Estradiol,12,-6.68400000,-5.55600000,-6.03916667,-5.99250000,0.31063888,-6.13821594,-6.10557185,12,10,10,1.12800000,13.42764961,0.03264409,High (>1.0 log unit)
2,CCCCO,1-Butanol,10,-6.55600000,-5.48100000,-6.04140000,-6.11850000,0.31010686,-6.00137486,-5.97248886,10,8,8,1.07500000,11.88502227,0.02888600,High (>1.0 log unit)
3,Cn1c(=O)c2c(ncn2C)n(C)c1=O,Caffeine,6,-7.55600000,-6.54100000,-7.00633333,-6.98400000,0.34065212,-6.96369585,-6.92365842,6,5,5,1.01500000,10.35142167,0.04003743,High (>1.0 log unit)
4,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,Methotrexate,7,-7.50300000,-6.50300000,-6.92600000,-6.84000000,0.34593689,-6.95158058,-6.95158058,6,1,1,1.00000000,10.00000000,0.00000000,Moderate (>0.5 to 1.0 log unit)
5,CCCCCCO,1-Hexanol,10,-5.77800000,-4.85900000,-5.27500000,-5.26950000,0.30536572,-5.34584214,-5.27018096,10,5,5,0.91900000,8.29850768,0.07566118,Moderate (>0.5 to 1.0 log unit)
6,CCCCCCCCCCO,1-Decanol,4,-5.51500000,-4.60200000,-4.86775000,-4.67700000,0.43338926,-5.06365753,-4.98692431,4,4,4,0.91300000,8.18464788,0.07673322,Moderate (>0.5 to 1.0 log unit)
7,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,Fentanyl,10,-5.84900000,-5.01300000,-5.42460000,-5.47750000,0.31475535,-5.52029326,-5.51023571,10,3,3,0.83600000,6.85488226,0.01005755,Moderate (>0.5 to 1.0 log unit)
8,CCO,Ethanol,7,-7.07900000,-6.27800000,-6.66742857,-6.65300000,0.31208271,-6.55738090,-6.49022097,7,5,5,0.80100000,6.32411851,0.06715993,Moderate (>0.5 to 1.0 log unit)
9,O=C(O)c1ccccc1O,Salicylic acid,3,-6.21600000,-5.41600000,-5.79733333,-5.76000000,0.40130454,-5.84409906,-5.82096715,3,3,3,0.80000000,6.30957344,0.02313191,Moderate (>0.5 to 1.0 log unit)
10,CN1CCCC1c1cccnc1,Nicotine,3,-6.03600000,-5.27000000,-5.61733333,-5.54600000,0.38795017,-5.76548954,-5.75147545,3,3,3,0.76600000,5.83445104,0.01401409,Moderate (>0.5 to 1.0 log unit)
11,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,Sufentanil,9,-5.76400000,-5.01800000,-5.31655556,-5.36000000,0.25706911,-5.39696371,-5.39696371,9,2,2,0.74600000,5.57185749,0.00000000,Moderate (>0.5 to 1.0 log unit)
