reference,DOI,DOI_URL,Selected_Measurements,Unique_Compounds,Condition_Signatures,Experimental_Min,Experimental_Max,Experimental_Range,Selected_Row_Share_Percent,Reference_Year
"Roberts, 1977",10.1111/j.2042-7158.1977.tb11434.x ,https://doi.org/10.1111/j.2042-7158.1977.tb11434.x,18,18,1,-5.81000000,-4.77800000,1.03200000,5.34124629,1977
"Scheuplein, 1973",10.1111/1523-1747.ep12723090,https://doi.org/10.1111/1523-1747.ep12723090,17,10,4,-6.85700000,-4.65300000,2.20400000,5.04451039,1973
"Roy, 1990",10.1023/A:1015912932416,https://doi.org/10.1023/A:1015912932416,16,2,8,-5.84900000,-5.01300000,0.83600000,4.74777448,1990
"Buist, 2010",10.1016/j.yrtph.2010.02.008,https://doi.org/10.1016/j.yrtph.2010.02.008,14,14,1,-7.65300000,-5.06500000,2.58800000,4.15430267,2010
"Zhang, 2009",10.1007/s11095-009-9912-4,https://doi.org/10.1007/s11095-009-9912-4,10,10,1,-5.63200000,-4.65100000,0.98100000,2.96735905,2009
"Chantasart, 2010",10.1007/s11095-010-0181-z,https://doi.org/10.1007/s11095-010-0181-z,10,8,2,-5.48100000,-4.81000000,0.67100000,2.96735905,2010
"Sznitowska, 2001",10.1016/s0168-3659(01)00443-6,https://doi.org/10.1016/s0168-3659(01)00443-6,10,2,10,-7.68100000,-5.47600000,2.20500000,2.96735905,2001
"Anderson, 1988",10.1023/a:1015989929342,https://doi.org/10.1023/a:1015989929342,9,7,2,-6.75700000,-5.82400000,0.93300000,2.67062315,1988
"Cross, 2003",10.1046/j.1523-1747.2003.12131.x,https://doi.org/10.1046/j.1523-1747.2003.12131.x,9,5,3,-6.35200000,-4.58600000,1.76600000,2.67062315,2003
"Mitragotri, 2000",10.1023/A:1007547809430,https://doi.org/10.1023/A:1007547809430,8,8,1,-8.07900000,-4.60200000,3.47700000,2.37388724,2000
"Scheuplein, 1965",10.1038/jid.1965.140,https://doi.org/10.1038/jid.1965.140,8,8,1,-6.55600000,-4.84000000,1.71600000,2.37388724,1965
"Swart, 2005",10.1016/j.ijpharm.2005.05.030,https://doi.org/10.1016/j.ijpharm.2005.05.030,8,8,1,-7.70000000,-5.33100000,2.36900000,2.37388724,2005
"Xu, 2002",10.1006/taap.2002.9494,https://doi.org/10.1006/taap.2002.9494,8,8,2,-6.51500000,-4.30100000,2.21400000,2.37388724,2002
"Michaels A. S., 1975",10.1002/aic.690210522,https://doi.org/10.1002/aic.690210522,8,5,8,-7.85200000,-5.55600000,2.29600000,2.37388724,1975
"Hadgraft, 1987",10.1016/0378-5173(87)90210-9,https://doi.org/10.1016/0378-5173(87)90210-9,7,7,5,-7.50900000,-5.27000000,2.23900000,2.07715134,1987
"Scheuplein, 1967",10.1038/jid.1967.11,https://doi.org/10.1038/jid.1967.11,7,7,1,-7.85700000,-4.98100000,2.87600000,2.07715134,1967
"du Plessis, 2002",10.1016/S0928-0987(02)00085-4,https://doi.org/10.1016/S0928-0987(02)00085-4,7,7,1,-7.45600000,-5.58600000,1.87000000,2.07715134,2002
"Sznitowska, 1993",10.1016/0378-5173(93)90321-6,https://doi.org/10.1016/0378-5173(93)90321-6,7,3,5,-7.90700000,-6.86000000,1.04700000,2.07715134,1993
"Wilkinson, 2006",10.1007/s00420-005-0056-5,https://doi.org/10.1007/s00420-005-0056-5,7,3,7,-6.91500000,-5.79700000,1.11800000,2.07715134,2006
"Vaidyanathan, 1985",10.1016/0378-5173(85)90106-1,https://doi.org/10.1016/0378-5173(85)90106-1,7,1,6,-7.50300000,-6.50300000,1.00000000,2.07715134,1985
"Bronaugh, 1984",10.1111/1523-1747.ep12263302,https://doi.org/10.1111/1523-1747.ep12263302,6,6,2,-7.62200000,-6.23400000,1.38800000,1.78041543,1984
