Compound_Name,Canonical_SMILES,Selected_Measurements,Experimental_Min,Experimental_Max,Experimental_Range,Experimental_Fold_Range_Kp,Predicted_Range,Low_Source_Data_Row,High_Source_Data_Row,Low_Reference,High_Reference,Low_DOI,High_DOI,Differing_Condition_Count,Differing_Conditions,Low_skin source type,High_skin source type,Low_skin source site,High_skin source site,Low_used layer,High_used layer,Low_skin preparation,High_skin preparation,Low_storage temperature (°C),High_storage temperature (°C),Low_storage duration (days),High_storage duration (days),Low_neat,High_neat,Low_donor/skin surface temperature (°C),High_donor/skin surface temperature (°C),Low_donor pH,High_donor pH,Low_donor type,High_donor type,Low_acceptor temperature (°C),High_acceptor temperature (°C),Low_acceptor pH,High_acceptor pH,Low_acceptor type,High_acceptor type,Low_cell type,High_cell type
Estradiol,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,12,-6.68400000,-5.55600000,1.12800000,13.42764961,0.03264409,119,483,"Goodman, 1988","Pershing, 1993",10.1111/1523-1747.ep12475655,10.1023/A:1018974131236,9,skin source type | used layer | skin preparation | storage temperature (°C) | storage duration (days) | donor/skin surface temperature (°C) | donor type | acceptor type | cell type,Cadaver,Abdominoplasty,abdomen,abdomen,epidermis,"epidermis, dermis","heat separation, hydrated",dermatomed 500um,-24,4,unknown,14,0,0,30,32,unknown,unknown,Ethanol,"Ethanol/PBS (3:1, v/v), 5% Oleic acid in Ethanol",32,32,unknown,unknown,Ethanol,unknown,Semi-automated apparatus,unknown
1-Butanol,CCCCO,10,-6.55600000,-5.48100000,1.07500000,11.88502227,0.02888600,442,69,"Scheuplein, 1973","Chantasart, 2010",10.1111/1523-1747.ep12723090,10.1007/s11095-010-0181-z,8,skin source type | used layer | storage temperature (°C) | neat | donor/skin surface temperature (°C) | acceptor temperature (°C) | acceptor type | cell type,Cadaver,Abdominoplasty,abdomen,abdomen,dermis,epidermis,heat separation,heat separation,4,-20,unknown,unknown,1,0,25,unknown,unknown,unknown,unknown,unknown,unknown,37,unknown,unknown,Water,unknown,Pyrex cell,Glass diffusion cell
Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,6,-7.55600000,-6.54100000,1.01500000,10.35142167,0.04003743,171,533,"Mitragotri, 1995","Wilkinson, 2006",10.1002/jps.2600840607,10.1007/s00420-005-0056-5,12,skin source type | skin source site | used layer | skin preparation | storage temperature (°C) | storage duration (days) | donor/skin surface temperature (°C) | donor type | acceptor temperature (°C) | acceptor pH | acceptor type | cell type,Cadaver,Mammaplasty,"abdomen, back",breast,epidermis,"epidermis, dermis",heat separation,"dermatomed 330um, hydrated",4,unknown,7,unknown,0,0,25,32,unknown,unknown,PBS,Ethanol/water (1:1 v/v),25,37,unknown,7.4,PBS,"Saline, HCl",Glass diffusion cell,unknown
Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,7,-7.50300000,-6.50300000,1.00000000,10.00000000,0.00000000,508,512,"Vaidyanathan, 1985","Vaidyanathan, 1985",10.1016/0378-5173(85)90106-1,10.1016/0378-5173(85)90106-1,1,donor pH,Cadaver,Cadaver,abdomen,abdomen,"epidermis, dermis","epidermis, dermis",unknown,unknown,unknown,unknown,unknown,unknown,0,0,unknown,unknown,1.98,5.29,Propylene glycol/water (50%),Propylene glycol/water (50%),37,37,unknown,unknown,NaCl solution,NaCl solution,unknown,unknown
1-Hexanol,CCCCCCO,10,-5.77800000,-4.85900000,0.91900000,8.29850768,0.07566118,419,369,"Cross, 2003","Bond, 1988",10.1046/j.1523-1747.2003.12131.x,10.1111/1523-1747.ep12460958,12,skin source type | skin source site | skin preparation | storage temperature (°C) | storage duration (days) | donor/skin surface temperature (°C) | donor pH | donor type | acceptor temperature (°C) | acceptor pH | acceptor type | cell type,Abdominoplasty,Surgery,abdomen,scalp,"epidermis, dermis","epidermis, dermis",fat removed,"dermatomed 420um, hydrated 10d",unknown,-20,unknown,210,0,0,35,31,7.4,unknown,PBS,unknown,35,31,7.4,unknown,PBS with bovine serum albumin,Sodium azide,Franz cell,unknown
1-Decanol,CCCCCCCCCCO,4,-5.51500000,-4.60200000,0.91300000,8.18464788,0.07673322,60,185,"Buist, 2010","Mitragotri, 2000",10.1016/j.yrtph.2010.02.008,10.1023/A:1007547809430,8,skin source site | skin preparation | storage temperature (°C) | donor pH | donor type | acceptor pH | acceptor type | cell type,unknown,unknown,abdomen,unknown,epidermis,epidermis,prepared with NaBr solution,heat separation,-80,unknown,unknown,unknown,0,0,unknown,unknown,unknown,7.4,"NaCl, sodium azide",PBS,unknown,unknown,unknown,7.4,unknown,PBS,unknown,Glass diffusion cell
Fentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,10,-5.84900000,-5.01300000,0.83600000,6.85488226,0.01005755,460,465,"Roy, 1990","Roy, 1990",10.1023/A:1015912932416,10.1023/A:1015912932416,2,donor pH | donor type,Cadaver,Cadaver,thigh,thigh,"epidermis, dermis","epidermis, dermis",dermatomed,dermatomed,-20,-20,unknown,unknown,0,0,37,37,6.02,9.04,Citrate-phosphate buffer,Potassium phosphate buffer,37,37,7.4,7.4,unknown,unknown,unknown,unknown
Ethanol,CCO,7,-7.07900000,-6.27800000,0.80100000,6.32411851,0.06715993,38,79,"Blank, 1964","Cross, 2003",10.1038/jid.1964.174,10.1046/j.1523-1747.2003.12131.x,10,skin source type | used layer | skin preparation | donor/skin surface temperature (°C) | donor pH | donor type | acceptor temperature (°C) | acceptor pH | acceptor type | cell type,Cadaver,Abdominoplasty,abdomen,abdomen,"epidermis, dermis",epidermis,fat removed,heat separation,unknown,unknown,unknown,unknown,0,0,22,35,unknown,7.4,NaCl solution,PBS,22,35,unknown,7.4,NaCl solution,PBS with bovine serum albumin,unknown,Franz cell
Salicylic acid,O=C(O)c1ccccc1O,3,-6.21600000,-5.41600000,0.80000000,6.30957344,0.02313191,477,101,"Schmook, 2001","Degim, 1998",10.1016/S0378-5173(00)00665-7,10.1016/S0378-5173(98)00113-6,9,skin source type | skin preparation | storage temperature (°C) | storage duration (days) | donor/skin surface temperature (°C) | donor type | acceptor temperature (°C) | acceptor pH | acceptor type,Cadaver,Abdominoplasty,abdomen,abdomen,"epidermis, dermis","epidermis, dermis",dermatomed 600um,unknown,-80,unknown,60,unknown,0,0,32,unknown,unknown,unknown,Propylene glycol/Water (9:1),Water,unknown,37,unknown,7.4,PBS with ethanol,PBS,Franz cell,Franz cell
Nicotine,CN1CCCC1c1cccnc1,3,-6.03600000,-5.27000000,0.76600000,5.83445104,0.01401409,100,126,"Degim, 1998","Hadgraft, 1987",10.1016/S0378-5173(98)00113-6,10.1016/0378-5173(87)90210-9,9,skin source type | skin preparation | storage temperature (°C) | storage duration (days) | donor/skin surface temperature (°C) | donor pH | donor type | acceptor pH | acceptor type,Abdominoplasty,Cadaver,abdomen,abdomen,"epidermis, dermis","epidermis, dermis",unknown,fat removed,unknown,4,unknown,0.5,0,0,unknown,30,unknown,9.2,Water,NaOH,37,37,7.4,9.2,PBS,NaOH,Franz cell,Franz cell
