Source_Data_Row,Compound name,Smiles,Canonical_SMILES,logkp (cm/s),Predicted_logKp_LGBM,Prediction_Error_LGBM,Absolute_Error_LGBM,Within_Tolerance_LGBM,skin source type,skin source site,used layer,skin preparation,storage temperature (°C),storage duration (days),neat,donor/skin surface temperature (°C),donor pH,donor type,acceptor temperature (°C),acceptor pH,acceptor type,cell type,reference,DOI,DOI_URL,LogP,molecular weight,Condition_Signature
1,Butyl 4-hydroxybenzoat,CCCCOC(=O)c1ccc(cc1)O,CCCCOC(=O)c1ccc(O)cc1,-4.53800000,-4.64075240,-0.10275240,0.10275240,True,Abdominoplasty,abdomen,epidermis,heat separation,unknown,unknown,0,32,7.4,PBS,37,unknown,PBS,Franz cell,"Akomeah, 2007",10.1002/jps.20773,https://doi.org/10.1002/jps.20773,2.34910000,194.09429431,skin source type=Abdominoplasty; skin source site=abdomen; used layer=epidermis; skin preparation=heat separation; storage temperature (°C)=unknown; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=32; donor pH=7.4; donor type=PBS; acceptor temperature (°C)=37; acceptor pH=unknown; acceptor type=PBS; cell type=Franz cell
2,Caffeine,Cn1cnc2c1c(=O)n(C)c(=O)n2C,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-7.05300000,-6.92365842,0.12934158,0.12934158,True,Abdominoplasty,abdomen,epidermis,heat separation,unknown,unknown,0,32,7.4,PBS,37,unknown,PBS,Franz cell,"Akomeah, 2007",10.1002/jps.20773,https://doi.org/10.1002/jps.20773,-1.02930000,194.08037556,skin source type=Abdominoplasty; skin source site=abdomen; used layer=epidermis; skin preparation=heat separation; storage temperature (°C)=unknown; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=32; donor pH=7.4; donor type=PBS; acceptor temperature (°C)=37; acceptor pH=unknown; acceptor type=PBS; cell type=Franz cell
3,Methyl 4-hydroxybenzoate,COC(=O)c1ccc(cc1)O,COC(=O)c1ccc(O)cc1,-5.23000000,-5.46314962,-0.23314962,0.23314962,True,Abdominoplasty,abdomen,epidermis,heat separation,unknown,unknown,0,32,7.4,PBS,37,unknown,PBS,Franz cell,"Akomeah, 2007",10.1002/jps.20773,https://doi.org/10.1002/jps.20773,1.17880000,152.04734412,skin source type=Abdominoplasty; skin source site=abdomen; used layer=epidermis; skin preparation=heat separation; storage temperature (°C)=unknown; storage duration (days)=unknown; neat=0; donor/skin surface temperature (°C)=32; donor pH=7.4; donor type=PBS; acceptor temperature (°C)=37; acceptor pH=unknown; acceptor type=PBS; cell type=Franz cell
4,Fluocinonide,CC(=O)OCC(=O)[C@@]12OC(O[C@@H]1C[C@@H]1[C@]2(C)C[C@H](O)[C@]2([C@H]1C[C@@H](C1=CC(=O)C=C[C@]21C)F)F)(C)C,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,-6.32600000,-6.49437877,-0.16837877,0.16837877,True,Abdominoplasty or cadaver,unknown,stratum corneum,dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,https://doi.org/10.1023/a:1015989929342,2.93760000,494.21160980,skin source type=Abdominoplasty or cadaver; skin source site=unknown; used layer=stratum corneum; skin preparation=dry heat separation; storage temperature (°C)=4; storage duration (days)=8.5; neat=0; donor/skin surface temperature (°C)=37; donor pH=4; donor type=Succinate solution; acceptor temperature (°C)=37; acceptor pH=4; acceptor type=Succinate solution; cell type=Flow through cell
5,Fluocinonide,CC(=O)OCC(=O)[C@@]12OC(O[C@@H]1C[C@@H]1[C@]2(C)C[C@H](O)[C@]2([C@H]1C[C@@H](C1=CC(=O)C=C[C@]21C)F)F)(C)C,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,-6.32600000,-6.49437877,-0.16837877,0.16837877,True,Abdominoplasty or cadaver,unknown,"epidermis, dermis",dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,https://doi.org/10.1023/a:1015989929342,2.93760000,494.21160980,"skin source type=Abdominoplasty or cadaver; skin source site=unknown; used layer=epidermis, dermis; skin preparation=dry heat separation; storage temperature (°C)=4; storage duration (days)=8.5; neat=0; donor/skin surface temperature (°C)=37; donor pH=4; donor type=Succinate solution; acceptor temperature (°C)=37; acceptor pH=4; acceptor type=Succinate solution; cell type=Flow through cell"
6,Hydrocortisone 21-Hemisuccinate,OC(=O)CCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O,-6.75700000,-6.81021015,-0.05321015,0.05321015,True,Abdominoplasty or cadaver,unknown,stratum corneum,dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,https://doi.org/10.1023/a:1015989929342,2.19730000,462.22536805,skin source type=Abdominoplasty or cadaver; skin source site=unknown; used layer=stratum corneum; skin preparation=dry heat separation; storage temperature (°C)=4; storage duration (days)=8.5; neat=0; donor/skin surface temperature (°C)=37; donor pH=4; donor type=Succinate solution; acceptor temperature (°C)=37; acceptor pH=4; acceptor type=Succinate solution; cell type=Flow through cell
7,Hydrocortisone 21-Hemipimelate,OC(=O)CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCCCCC(=O)O,-6.30100000,-6.50477122,-0.20377122,0.20377122,True,Abdominoplasty or cadaver,unknown,stratum corneum,dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,https://doi.org/10.1023/a:1015989929342,3.36760000,504.27231824,skin source type=Abdominoplasty or cadaver; skin source site=unknown; used layer=stratum corneum; skin preparation=dry heat separation; storage temperature (°C)=4; storage duration (days)=8.5; neat=0; donor/skin surface temperature (°C)=37; donor pH=4; donor type=Succinate solution; acceptor temperature (°C)=37; acceptor pH=4; acceptor type=Succinate solution; cell type=Flow through cell
9,Hydrocortisone 21-(6-hydroxyhexanoate),OCCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCCCCO,-6.59700000,-6.71935638,-0.12235638,0.12235638,True,Abdominoplasty or cadaver,unknown,stratum corneum,dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,https://doi.org/10.1023/a:1015989929342,2.88520000,476.27740362,skin source type=Abdominoplasty or cadaver; skin source site=unknown; used layer=stratum corneum; skin preparation=dry heat separation; storage temperature (°C)=4; storage duration (days)=8.5; neat=0; donor/skin surface temperature (°C)=37; donor pH=4; donor type=Succinate solution; acceptor temperature (°C)=37; acceptor pH=4; acceptor type=Succinate solution; cell type=Flow through cell
10,Hydrocortisone 21-methylpimelate,COC(=O)CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,COC(=O)CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,-5.82400000,-6.08230331,-0.25830331,0.25830331,True,Abdominoplasty or cadaver,unknown,stratum corneum,dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,https://doi.org/10.1023/a:1015989929342,3.45600000,518.28796830,skin source type=Abdominoplasty or cadaver; skin source site=unknown; used layer=stratum corneum; skin preparation=dry heat separation; storage temperature (°C)=4; storage duration (days)=8.5; neat=0; donor/skin surface temperature (°C)=37; donor pH=4; donor type=Succinate solution; acceptor temperature (°C)=37; acceptor pH=4; acceptor type=Succinate solution; cell type=Flow through cell
14,Hydrocortisone 21-pimelamate,NC(=O)CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCCCCC(N)=O,-6.60700000,-6.56401622,0.04298378,0.04298378,True,Abdominoplasty or cadaver,unknown,stratum corneum,dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,https://doi.org/10.1023/a:1015989929342,2.76830000,503.28830265,skin source type=Abdominoplasty or cadaver; skin source site=unknown; used layer=stratum corneum; skin preparation=dry heat separation; storage temperature (°C)=4; storage duration (days)=8.5; neat=0; donor/skin surface temperature (°C)=37; donor pH=4; donor type=Succinate solution; acceptor temperature (°C)=37; acceptor pH=4; acceptor type=Succinate solution; cell type=Flow through cell
