Variability_Rank,Compound_Name,Canonical_SMILES,SMILES_Values,All_Measurements,Selected_Measurements,Excluded_Measurements,Selection_Coverage_Percent,Variability_Band,Experimental_All_Min,Experimental_All_Max,Experimental_All_Mean,Experimental_All_Median,Experimental_All_SD,Experimental_All_IQR,Experimental_All_Range,Experimental_All_Fold_Range_Kp,Experimental_Selected_Min,Experimental_Selected_Max,Experimental_Selected_Mean,Experimental_Selected_Median,Experimental_Selected_SD,Experimental_Selected_IQR,Experimental_Selected_Range,Prediction_All_Min,Prediction_All_Max,Prediction_All_Mean,Prediction_All_Median,Prediction_All_SD,Prediction_All_IQR,Prediction_All_Range,Prediction_All_Unique_Count,Prediction_Selected_Min,Prediction_Selected_Max,Prediction_Selected_Mean,Prediction_Selected_Median,Prediction_Selected_SD,Prediction_Selected_IQR,Prediction_Selected_Range,Prediction_Selected_Unique_Count,Absolute_Error_Selected_Min,Absolute_Error_Selected_Max,Absolute_Error_Selected_Mean,Condition_Combinations_All,Condition_Combinations_Selected,Donor_Surface_Temperatures_All,Donor_Surface_Temperatures_Selected,References_All,References_Selected,Reference_Count_All,Reference_Count_Selected,DOIs_All,DOIs_Selected,DOI_Count_All,DOI_Count_Selected
1,1-Nonanol,CCCCCCCCCO,CCCCCCCCCO,3,1,2,33.33333333,High (>1.0 log unit),-9.07900000,-1.77800000,-5.21166667,-4.77800000,3.66976843,3.65050000,7.30100000,19998618.69632745,-4.77800000,-4.77800000,-4.77800000,-4.77800000,,0.00000000,0.00000000,-4.89277587,-4.82738482,-4.84918184,-4.82738482,0.03775354,0.03269552,0.06539105,2,-4.82738482,-4.82738482,-4.82738482,-4.82738482,,0.00000000,0.00000000,1,0.04938482,0.04938482,0.04938482,3,1,25,25,"Scheuplein, 1971 || Scheuplein, 1973","Scheuplein, 1973",2,1,10.1152/physrev.1971.51.4.702 || 10.1111/1523-1747.ep12723090,10.1111/1523-1747.ep12723090,2,1
2,Water,O,O,15,9,6,60.00000000,High (>1.0 log unit),-9.58800000,-2.80700000,-6.35420000,-6.43800000,1.36660054,0.29000000,6.78100000,6039486.29376378,-6.70700000,-6.32300000,-6.49311111,-6.43800000,0.12086195,0.17100000,0.38400000,-6.12423617,-6.12372863,-6.12420233,-6.12423617,0.00013104,0.00000000,0.00050753,2,-6.12423617,-6.12423617,-6.12423617,-6.12423617,0.00000000,0.00000000,0.00000000,1,0.19876383,0.58276383,0.36887495,15,9,31 | 32 | 30,31 | 32,"Astley, 1976 || Barber, 1992 || Mitragotri, 1996 || Bond, 1988 || Clowes, 1994 || Rigg, 1990 || Scott, 1990 || Barber, 1995","Astley, 1976 || Bond, 1988 || Clowes, 1994 || Rigg, 1990",8,4,10.1002/jps.2600650210 || 10.1016/0272-0590(92)90086-W || 10.1023/A:1016096626810 || 10.1111/1523-1747.ep12460958 || 10.1016/0887-2333(94)90078-7 || 10.1111/1523-1747.ep12874561 || 10.1111/1523-1747.ep12475447 || 10.1016/0378-4274(95)03393-Y,10.1002/jps.2600650210 || 10.1111/1523-1747.ep12460958 || 10.1016/0887-2333(94)90078-7 || 10.1111/1523-1747.ep12874561,8,4
3,1-Octanol,CCCCCCCCO,CCCCCCCCO,14,9,5,64.28571429,High (>1.0 log unit),-8.55600000,-1.84000000,-5.24921429,-4.84000000,1.61247398,0.73025000,6.71600000,5199959.96533515,-5.14100000,-4.58600000,-4.82577778,-4.84000000,0.14817538,0.06900000,0.55500000,-4.79457938,-4.73831328,-4.77026807,-4.78834575,0.02674329,0.05626610,0.05626610,4,-4.79457938,-4.73831328,-4.77065062,-4.78834575,0.02740773,0.05626610,0.05626610,4,0.01674752,0.40268672,0.11866607,14,9,22 | 35 | 25 | 30,22 | 35 | 25 | 30,"Blank, 1964 || Chantasart, 2010 || Cross, 2003 || Mitragotri, 2000 || Scheuplein, 1965 || Scheuplein, 1971 || Scheuplein, 1973 || Southwell, 1984","Blank, 1964 || Chantasart, 2010 || Cross, 2003 || Mitragotri, 2000 || Scheuplein, 1965 || Scheuplein, 1973 || Southwell, 1984",8,7,10.1038/jid.1964.174 || 10.1007/s11095-010-0181-z || 10.1046/j.1523-1747.2003.12131.x || 10.1023/A:1007547809430 || 10.1038/jid.1965.140 || 10.1152/physrev.1971.51.4.702 || 10.1111/1523-1747.ep12723090 || 10.1016/0378-5173(84)90145-5,10.1038/jid.1964.174 || 10.1007/s11095-010-0181-z || 10.1046/j.1523-1747.2003.12131.x || 10.1023/A:1007547809430 || 10.1038/jid.1965.140 || 10.1111/1523-1747.ep12723090 || 10.1016/0378-5173(84)90145-5,8,7
4,1-Heptanol,CCCCCCCO,CCCCCCCO,7,4,3,57.14285714,High (>1.0 log unit),-8.15800000,-2.05100000,-5.45157143,-5.05100000,2.02575894,1.41850000,6.10700000,1279381.30415752,-5.15800000,-4.98100000,-5.06025000,-5.05100000,0.07304508,0.04425000,0.17700000,-5.06142332,-4.98629365,-5.01218498,-4.98629365,0.03548748,0.05305483,0.07512967,3,-5.06142332,-4.98629365,-5.01282107,-5.00178365,0.03554064,0.04201742,0.07512967,3,0.01042332,0.17170635,0.07077742,7,4,30 | 25,30 | 25,"Scheuplein, 1965 || Scheuplein, 1967 || Scheuplein, 1971 || Scheuplein, 1973","Scheuplein, 1965 || Scheuplein, 1967 || Scheuplein, 1973",4,3,10.1038/jid.1965.140 || 10.1038/jid.1967.11 || 10.1152/physrev.1971.51.4.702 || 10.1111/1523-1747.ep12723090,10.1038/jid.1965.140 || 10.1038/jid.1967.11 || 10.1111/1523-1747.ep12723090,4,3
5,1-Hexanol,CCCCCCO,CCCCCCO,13,10,3,76.92307692,High (>1.0 log unit),-7.84000000,-2.44200000,-5.38800000,-5.28400000,1.23475774,0.58600000,5.39800000,250034.53616964,-5.77800000,-4.85900000,-5.27500000,-5.26950000,0.30536572,0.37525000,0.91900000,-5.34584214,-5.27018096,-5.32176529,-5.34239068,0.03582150,0.07566117,0.07566117,3,-5.34584214,-5.27018096,-5.32967447,-5.34411641,0.03139538,0.00345145,0.07566117,3,0.01518096,0.48684214,0.25431357,13,10,35 | 25 | 31,35 | 25 | 31,"Chantasart, 2010 || Cross, 2003 || Scheuplein, 1965 || Scheuplein, 1971 || Scheuplein, 1973 || Bond, 1988","Chantasart, 2010 || Cross, 2003 || Scheuplein, 1965 || Scheuplein, 1973 || Bond, 1988",6,5,10.1007/s11095-010-0181-z || 10.1046/j.1523-1747.2003.12131.x || 10.1038/jid.1965.140 || 10.1152/physrev.1971.51.4.702 || 10.1111/1523-1747.ep12723090 || 10.1111/1523-1747.ep12460958,10.1007/s11095-010-0181-z || 10.1046/j.1523-1747.2003.12131.x || 10.1038/jid.1965.140 || 10.1111/1523-1747.ep12723090 || 10.1111/1523-1747.ep12460958,6,5
6,1-Pentanol,CCCCCO,CCCCCO,8,4,4,50.00000000,High (>1.0 log unit),-7.84900000,-2.77800000,-5.61437500,-5.77800000,1.44564834,0.83350000,5.07100000,117760.59735208,-5.77800000,-5.17600000,-5.62750000,-5.77800000,0.30100000,0.15050000,0.60200000,-5.83778283,-5.75408847,-5.77501206,-5.75408847,0.03874296,0.02092359,0.08369436,2,-5.83778283,-5.75408847,-5.77501206,-5.75408847,0.04184718,0.02092359,0.08369436,2,0.02391153,0.57808847,0.17142359,7,4,22 | 25,22 | 25,"Blank, 1964 || Chantasart, 2010 || Scheuplein, 1965 || Scheuplein, 1973 || Scheuplein, 1971","Blank, 1964 || Scheuplein, 1965 || Scheuplein, 1973",5,3,10.1038/jid.1964.174 || 10.1007/s11095-010-0181-z || 10.1038/jid.1965.140 || 10.1111/1523-1747.ep12723090 || 10.1152/physrev.1971.51.4.702,10.1038/jid.1964.174 || 10.1038/jid.1965.140 || 10.1111/1523-1747.ep12723090,5,3
7,1-Decanol,CCCCCCCCCCO,CCCCCCCCCCO,7,4,3,57.14285714,High (>1.0 log unit),-9.65300000,-4.60200000,-5.90942857,-5.51500000,1.78767772,1.44400000,5.05100000,112460.49739669,-5.51500000,-4.60200000,-4.86775000,-4.67700000,0.43338926,0.26425000,0.91300000,-5.06365753,-4.98692431,-5.04084725,-5.06158902,0.03684799,0.03836661,0.07673322,3,-5.06365753,-4.98692431,-5.04395710,-5.06262328,0.03803436,0.02073469,0.07673322,3,0.33392431,0.46165753,0.40187833,7,4,35 | 25,35 | 25,"Buist, 2010 || Cross, 2003 || Mitragotri, 2000 || Scheuplein, 1973","Buist, 2010 || Cross, 2003 || Mitragotri, 2000 || Scheuplein, 1973",4,4,10.1016/j.yrtph.2010.02.008 || 10.1046/j.1523-1747.2003.12131.x || 10.1023/A:1007547809430 || 10.1111/1523-1747.ep12723090,10.1016/j.yrtph.2010.02.008 || 10.1046/j.1523-1747.2003.12131.x || 10.1023/A:1007547809430 || 10.1111/1523-1747.ep12723090,4,4
8,1-Propanol,CCCO,CCCO,8,5,3,62.50000000,High (>1.0 log unit),-7.35200000,-3.41000000,-5.98712500,-6.36800000,1.21364533,0.50475000,3.94200000,8749.83775227,-6.55600000,-6.30100000,-6.41400000,-6.41000000,0.10566693,0.15100000,0.25500000,-6.42203863,-6.38594988,-6.40496769,-6.40916063,0.01255090,0.00580269,0.03608876,3,-6.42203863,-6.38594988,-6.40709408,-6.40916063,0.01306932,0.00000000,0.03608876,3,0.02405012,0.14683937,0.08858562,8,5,22 | 30 | 25,22 | 30 | 25,"Blank, 1964 || Scheuplein, 1965 || Scheuplein, 1967 || Scheuplein, 1971 || Scheuplein, 1973","Blank, 1964 || Scheuplein, 1965 || Scheuplein, 1967 || Scheuplein, 1973",5,4,10.1038/jid.1964.174 || 10.1038/jid.1965.140 || 10.1038/jid.1967.11 || 10.1152/physrev.1971.51.4.702 || 10.1111/1523-1747.ep12723090,10.1038/jid.1964.174 || 10.1038/jid.1965.140 || 10.1038/jid.1967.11 || 10.1111/1523-1747.ep12723090,5,4
9,Amphetamine,CC(N)Cc1ccccc1,CC(Cc1ccccc1)N,2,1,1,50.00000000,High (>1.0 log unit),-8.40900000,-4.59200000,-6.50050000,-6.50050000,2.69902658,1.90850000,3.81700000,6561.45266303,-4.59200000,-4.59200000,-4.59200000,-4.59200000,,0.00000000,0.00000000,-4.98612741,-4.98612741,-4.98612741,-4.98612741,0.00000000,0.00000000,0.00000000,1,-4.98612741,-4.98612741,-4.98612741,-4.98612741,,0.00000000,0.00000000,1,0.39412741,0.39412741,0.39412741,2,1,,,"Galey, 1976","Galey, 1976",1,1,10.1111/1523-1747.ep12598596,10.1111/1523-1747.ep12598596,1,1
10,2-Ethoxyethyl acetate,CCOCCOC(C)=O,CCOCCOC(=O)C,2,1,1,50.00000000,High (>1.0 log unit),-6.64900000,-2.83900000,-4.74400000,-4.74400000,2.69407684,1.90500000,3.81000000,6456.54229035,-6.64900000,-6.64900000,-6.64900000,-6.64900000,,0.00000000,0.00000000,-6.17813852,-6.15248501,-6.16531176,-6.16531176,0.01813977,0.01282675,0.02565351,2,-6.17813852,-6.17813852,-6.17813852,-6.17813852,,0.00000000,0.00000000,1,0.47086148,0.47086148,0.47086148,2,1,30,30,"Barber, 1992 || Dugard, 1984","Dugard, 1984",2,1,10.1016/0272-0590(92)90086-W || 10.1289/ehp.8457193,10.1289/ehp.8457193,2,1
