Field,Selected_Rows,Selected_Unavailable_Count,Selected_Unavailable_Percent,Selected_Distinct_Reported_Values,Selected_Top_Reported_Values,All_Context_Rows,All_Context_Unavailable_Count,All_Context_Unavailable_Percent,All_Context_Distinct_Reported_Values,All_Context_Top_Reported_Values
storage duration (days),337,241,71.51335312,15,7 (14) | 14 (13) | 90 (11) | 8.5 (9) | 180 (7),437,318,72.76887872,16,14 (20) | 7 (15) | 8.5 (11) | 90 (11) | 28 (9)
acceptor pH,337,196,58.16023739,10,7.4 (99) | 4 (9) | 6.5 (8) | 7.3 (7) | 7 (6),437,259,59.26773455,11,7.4 (119) | 6.5 (12) | 4 (11) | 7.3 (9) | 7 (8)
donor pH,337,182,54.00593472,42,7.4 (57) | 7 (21) | 4 (14) | 9.7 (5) | 7.5 (4),437,252,57.66590389,52,7.4 (68) | 7 (21) | 4 (18) | 9.7 (6) | 7.5 (4)
donor type,337,125,37.09198813,28,"PBS (64) | Water (31) | NaCl solution (17) | Succinate solution (14) | NaCl, sodium azide (14)",437,189,43.24942792,33,"PBS (76) | Water (32) | NaCl solution (17) | Succinate solution (17) | NaCl, sodium azide (15)"
acceptor type,337,120,35.60830861,22,PBS (71) | NaCl solution (35) | Water (22) | PBS with ethanol (11) | Ringer solution (10),437,151,34.55377574,29,PBS (77) | Water (43) | NaCl solution (37) | Ringer solution (16) | PBS with bovine serum albumin (15)
storage temperature (°C),337,113,33.53115727,14,-20 (84) | 4 (72) | -80 (15) | -30 (10) | 5 (8),437,143,32.72311213,15,4 (111) | -20 (97) | -80 (17) | -70 (15) | -30 (11)
donor/skin surface temperature (°C),337,102,30.26706231,9,37 (63) | 32 (56) | 25 (50) | 30 (32) | 35 (10),437,135,30.89244851,9,25 (73) | 37 (71) | 32 (70) | 30 (40) | 35 (16)
acceptor temperature (°C),337,88,26.11275964,10,37 (118) | 32 (45) | 25 (31) | 30 (23) | 35 (10),437,133,30.43478261,10,37 (134) | 32 (56) | 25 (34) | 30 (33) | 35 (16)
cell type,337,72,21.36498516,7,Glass diffusion cell (95) | Franz cell (82) | Pyrex cell (43) | Flow through cell (40) | Semi-automated apparatus (2),437,99,22.65446224,7,Glass diffusion cell (116) | Franz cell (101) | Pyrex cell (64) | Flow through cell (48) | Static diffusion cell (6)
skin preparation,337,53,15.72700297,28,heat separation (136) | fat removed (21) | exposure to ammonia fumes (18) | prepared with NaBr solution (15) | dermatomed (14),437,76,17.39130435,28,heat separation (178) | fat removed (24) | exposure to ammonia fumes (19) | dermatomed (18) | dry heat separation (17)
skin source type,337,43,12.75964392,7,Cadaver (172) | Abdominoplasty (76) | Mammaplasty (16) | Abdominoplasty or cadaver (9) | Surgery (9),437,61,13.95881007,8,Cadaver (221) | Abdominoplasty (89) | Mammaplasty (24) | Abdominoplasty or cadaver (11) | Surgery (11)
skin source site,337,41,12.16617211,12,"abdomen (208) | thigh (38) | breast (16) | abdomen, chest, back (8) | abdomen, breast (6)",437,63,14.41647597,13,"abdomen (258) | thigh (49) | breast (24) | abdomen, breast (10) | abdomen, chest, back (8)"
used layer,337,2,0.59347181,6,"epidermis (171) | epidermis, dermis (132) | stratum corneum (17) | dermis (12) | epidermis without stratum corneum (2)",437,10,2.28832952,6,"epidermis (197) | epidermis, dermis (168) | dermis (30) | stratum corneum (28) | epidermis without stratum corneum (3)"
neat,337,0,0.00000000,2,0 (319) | 1 (18),437,0,0.00000000,2,0 (399) | 1 (38)
reference,337,0,0.00000000,71,"Roberts, 1977 (18) | Scheuplein, 1973 (17) | Roy, 1990 (16) | Buist, 2010 (14) | Zhang, 2009 (10)",437,0,0.00000000,79,"Scheuplein, 1973 (36) | Roy, 1990 (20) | Roberts, 1977 (19) | Cross, 2003 (15) | Buist, 2010 (15)"
DOI,337,0,0.00000000,71,10.1111/j.2042-7158.1977.tb11434.x (18) | 10.1111/1523-1747.ep12723090 (17) | 10.1023/A:1015912932416 (16) | 10.1016/j.yrtph.2010.02.008 (14) | 10.1007/s11095-009-9912-4 (10),437,0,0.00000000,79,10.1111/1523-1747.ep12723090 (36) | 10.1023/A:1015912932416 (20) | 10.1111/j.2042-7158.1977.tb11434.x (19) | 10.1046/j.1523-1747.2003.12131.x (15) | 10.1016/j.yrtph.2010.02.008 (15)
