Overall_Rank,Model,Model_Slug,Prediction_Column,Tolerance,Valid_Pairs,Selected_Rows,Selected_Row_Percent,Unique_Canonical_Compounds,Subset_R2,Subset_RMSE,Subset_MAE,Subset_Bias,Maximum_Absolute_Error,Overall_RMSE,Overall_R2,Filtered_CSV,Experimental_vs_Predicted_Plot,Residual_Plot,Absolute_Error_Plot
1,LGBM,LGBM,Predicted_logKp_LGBM,0.60000000,546,337,61.72161172,171,0.90848775,0.28474615,0.22598029,0.00920289,0.59574154,1.16898675,0.26870592,results/huskinDB/within_0.6_all_models/LGBM/huskin_LGBM_predictions_within_0.6.csv,results/huskinDB/within_0.6_all_models/LGBM/experimental_vs_predicted_within_0.6_LGBM.png,results/huskinDB/within_0.6_all_models/LGBM/residuals_within_0.6_LGBM.png,results/huskinDB/within_0.6_all_models/LGBM/absolute_error_distribution_within_0.6_LGBM.png
2,Ensemble,Ensemble,Predicted_logKp_Ensemble,0.60000000,546,329,60.25641026,172,0.91207981,0.27023377,0.21095534,-0.00432624,0.59924097,1.18042945,0.25431921,results/huskinDB/within_0.6_all_models/Ensemble/huskin_Ensemble_predictions_within_0.6.csv,results/huskinDB/within_0.6_all_models/Ensemble/experimental_vs_predicted_within_0.6_Ensemble.png,results/huskinDB/within_0.6_all_models/Ensemble/residuals_within_0.6_Ensemble.png,results/huskinDB/within_0.6_all_models/Ensemble/absolute_error_distribution_within_0.6_Ensemble.png
3,CatBoost,CatBoost,Predicted_logKp_CatBoost,0.60000000,546,326,59.70695971,166,0.89932843,0.28700634,0.23417972,-0.01392467,0.59787078,1.18045336,0.25428901,results/huskinDB/within_0.6_all_models/CatBoost/huskin_CatBoost_predictions_within_0.6.csv,results/huskinDB/within_0.6_all_models/CatBoost/experimental_vs_predicted_within_0.6_CatBoost.png,results/huskinDB/within_0.6_all_models/CatBoost/residuals_within_0.6_CatBoost.png,results/huskinDB/within_0.6_all_models/CatBoost/absolute_error_distribution_within_0.6_CatBoost.png
4,XGBoost,XGBoost,Predicted_logKp_XGBoost,0.60000000,546,321,58.79120879,169,0.91791071,0.26253472,0.20443005,-0.01932333,0.59161108,1.18094469,0.25366812,results/huskinDB/within_0.6_all_models/XGBoost/huskin_XGBoost_predictions_within_0.6.csv,results/huskinDB/within_0.6_all_models/XGBoost/experimental_vs_predicted_within_0.6_XGBoost.png,results/huskinDB/within_0.6_all_models/XGBoost/residuals_within_0.6_XGBoost.png,results/huskinDB/within_0.6_all_models/XGBoost/absolute_error_distribution_within_0.6_XGBoost.png
5,RF,RandomForest,Predicted_logKp_RandomForest,0.60000000,546,321,58.79120879,162,0.90906269,0.27585052,0.21990670,-0.01111459,0.59866406,1.18458690,0.24905742,results/huskinDB/within_0.6_all_models/RandomForest/huskin_RandomForest_predictions_within_0.6.csv,results/huskinDB/within_0.6_all_models/RandomForest/experimental_vs_predicted_within_0.6_RandomForest.png,results/huskinDB/within_0.6_all_models/RandomForest/residuals_within_0.6_RandomForest.png,results/huskinDB/within_0.6_all_models/RandomForest/absolute_error_distribution_within_0.6_RandomForest.png
6,ExtraTrees,ExtraTrees,Predicted_logKp_ExtraTrees,0.60000000,546,324,59.34065934,168,0.90863285,0.28210605,0.21335988,-0.00252865,0.59314707,1.20522253,0.22266655,results/huskinDB/within_0.6_all_models/ExtraTrees/huskin_ExtraTrees_predictions_within_0.6.csv,results/huskinDB/within_0.6_all_models/ExtraTrees/experimental_vs_predicted_within_0.6_ExtraTrees.png,results/huskinDB/within_0.6_all_models/ExtraTrees/residuals_within_0.6_ExtraTrees.png,results/huskinDB/within_0.6_all_models/ExtraTrees/absolute_error_distribution_within_0.6_ExtraTrees.png
7,HistGradientBoosting,HistGradientBoosting,Predicted_logKp_HistGradientBoosting,0.60000000,546,321,58.79120879,162,0.90829696,0.27858735,0.21910212,-0.00808720,0.59984601,1.20953178,0.21709793,results/huskinDB/within_0.6_all_models/HistGradientBoosting/huskin_HistGradientBoosting_predictions_within_0.6.csv,results/huskinDB/within_0.6_all_models/HistGradientBoosting/experimental_vs_predicted_within_0.6_HistGradientBoosting.png,results/huskinDB/within_0.6_all_models/HistGradientBoosting/residuals_within_0.6_HistGradientBoosting.png,results/huskinDB/within_0.6_all_models/HistGradientBoosting/absolute_error_distribution_within_0.6_HistGradientBoosting.png
8,Gradient Boosting,GradientBoosting,Predicted_logKp_GradientBoosting,0.60000000,546,318,58.24175824,162,0.92565013,0.25317796,0.19132278,-0.01043206,0.59945335,1.22017333,0.20326126,results/huskinDB/within_0.6_all_models/GradientBoosting/huskin_GradientBoosting_predictions_within_0.6.csv,results/huskinDB/within_0.6_all_models/GradientBoosting/experimental_vs_predicted_within_0.6_GradientBoosting.png,results/huskinDB/within_0.6_all_models/GradientBoosting/residuals_within_0.6_GradientBoosting.png,results/huskinDB/within_0.6_all_models/GradientBoosting/absolute_error_distribution_within_0.6_GradientBoosting.png
9,SVR (RBF),SVR_RBF,Predicted_logKp_SVR_RBF,0.60000000,546,288,52.74725275,144,0.90893599,0.27754700,0.21443083,-0.00283920,0.59144103,1.28698038,0.11362656,results/huskinDB/within_0.6_all_models/SVR_RBF/huskin_SVR_RBF_predictions_within_0.6.csv,results/huskinDB/within_0.6_all_models/SVR_RBF/experimental_vs_predicted_within_0.6_SVR_RBF.png,results/huskinDB/within_0.6_all_models/SVR_RBF/residuals_within_0.6_SVR_RBF.png,results/huskinDB/within_0.6_all_models/SVR_RBF/absolute_error_distribution_within_0.6_SVR_RBF.png
10,StackingRegressor,StackingRegressor,Predicted_logKp_StackingRegressor,0.60000000,546,269,49.26739927,132,0.90718515,0.29566283,0.25150887,-0.02458265,0.59227818,1.48354108,-0.17780130,results/huskinDB/within_0.6_all_models/StackingRegressor/huskin_StackingRegressor_predictions_within_0.6.csv,results/huskinDB/within_0.6_all_models/StackingRegressor/experimental_vs_predicted_within_0.6_StackingRegressor.png,results/huskinDB/within_0.6_all_models/StackingRegressor/residuals_within_0.6_StackingRegressor.png,results/huskinDB/within_0.6_all_models/StackingRegressor/absolute_error_distribution_within_0.6_StackingRegressor.png
