Compound,SMILES,Experimental_logKp
"2,3-Butanediol",CC(C(C)O)O,-4.3
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-1.9
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-1.79
4-Hydroxybenzyl alcohol,C1=CC(=CC=C1CO)O,-2.7
6-Methylcoumarin,CC1=CC2=C(C=C1)OC(=O)C=C2,-1.18
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-3.27
Mannitol,C(C(C(C(C(CO)O)O)O)O)O,-3.97
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,-4.29
Triamcinolone,CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O,-5.4
salicylate,C1=CC=C(C(=C1)C(=O)O)[O-],-3.98
Beta-naphthol; 2-naphthol,C1=CC=C2C=C(C=CC2=C1)O,-1.55
4-Bromophenyl isocyanate,C1=CC(=CC=C1N=C=O)Br,-1.75
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-2.51
Eugenol,COC1=C(C=CC(=C1)CC=C)O,-1.56
Butylparaben,CCCCOC(=O)C1=CC=C(C=C1)O,-1.15
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-1.71
Estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,-2.39
n-nonanol,CCCCCCCCCO,-1.22
4-Bromophenyl isocyanate,C1=CC(=CC=C1N=C=O)Br,-1.84
Benzene,C1=CC=CC=C1,-0.8
caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-4.15
o-Phenylenediamine,C1=CC=C(C(=C1)N)N,-3.35
Naphthalene,C1=CC=C2C=CC=CC2=C1,-1.78
Testosterone,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,-3.4
Cortisone,CC12CCC(=O)C=C1CCC3C2C(=O)CC4(C3CCC4(C(=O)CO)O)C,-5.0
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-2.36
Mannitol,C(C(C(C(C(CO)O)O)O)O)O,-4.62
Thymol; 2-Isopropyl-5-methylphenol,CC1=CC(=C(C=C1)C(C)C)O,-1.28
Sufentanil base,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC,-1.82
Decanol ,CCCCCCCCCCO,-1.15
p-n-butylphenol; 4-Butylphenol,CCCCC1=CC=C(C=C1)O,-1.11
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,-4.61
Alprenolol,CC(C)NCC(COC1=CC=CC=C1CC=C)O,-2.79
Methanol,CO,-3.3
catechol,C1=CC=C(C(=C1)O)O,-2.51
Salicylic acid,C1=CC=C(C(=C1)C(=O)O)O,-3.03
Estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,-2.43
Ethanol,CCO,-2.72
Sucrose,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,-3.13
n-butanol,CCCCO,-2.6
Mannitol,C(C(C(C(C(CO)O)O)O)O)O,-4.72
bis(2-ethylhexyl)phthalate,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,-4.1
"2,4-dichlorophenol",C1=CC(=C(C=C1Cl)Cl)O,-1.15
Triamcinolone acetonide,CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)C,-3.4
Methyl methanesulfonate,COS(=O)(=O)C,-2.07
Cinnamyl alcohol,C1=CC=C(C=C1)C=CCO,-1.48
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,-5.09
2-(Acetylamino)fluorene,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,-1.11
testosterone,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,-2.11
4-propoxyphenol,CCCOC1=CC=C(C=C1)O,-1.83
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-2.03
Benzoic acid,C1=CC=C(C=C1)C(=O)O,-1.51
butoxyethanol,CCCCOCCO,-2.36
methanol,CO,-3.3
Testosterone,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,-1.42
Decanol,CCCCCCCCCCO,-1.1
beta-Estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,-2.01
propylparaben,CCCOC(=O)C1=CC=C(C=C1)O,-1.71
Estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,-2.57
Hydrocortisone ,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,-5.52
p-Bromophenol,C1=CC(=CC=C1O)Br,-1.44
7-Ethoxycoumarin,CCOC1=CC2=C(C=C1)C=CC(=O)O2,-0.92
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-3.52
sucrose,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,-4.27
salicylate,C1=CC=C(C(=C1)C(=O)O)[O-],-3.7
Octanol,CCCCCCCCO,-1.28
Resorcinol,C1=CC(=CC(=C1)O)O,-2.42
m-Nitrophenol; 3-nitrophenol,C1=CC(=CC(=C1)O)[N+](=O)[O-],-2.25
Methanol,CO,-2.8
Salicylic acid,C1=CC=C(C(=C1)C(=O)O)O,-1.35
chlorocresol,CC1=C(C=CC(=C1)O)Cl,-1.44
Cortexone,CC12CCC3C(C1CCC2C(=O)CO)CCC4=CC(=O)CCC34C,-3.35
"Nicotinate, ethyl",CCOC(=O)C1=CN=CC=C1,-3.09
Cyclophosphamide monohydrate,C1CNP(=O)(OC1)N(CCCl)CCCl.O,-2.91
"2,4-dichlorophenol",C1=CC(=C(C=C1Cl)Cl)O,-1.02
Naphthalene,C1=CC=C2C=CC=CC2=C1,-1.55
Mannitol,C(C(C(C(C(CO)O)O)O)O)O,-4.82
Nonanol,CCCCCCCCCO,-1.22
Methyl methanesulfonate,COS(=O)(=O)C,-1.91
1-(diphenylmethyl)-4-butylpiperazine,CCCCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3,-2.3
n-heptanol,CCCCCCCO,-1.49
decanol,CCCCCCCCCCO,-1.88
Hexanol,CCCCCCO,-1.49
Chlorocresol,CC1=C(C=CC(=C1)O)Cl,-1.26
1-(diphenylmethyl)-4-ethylpiperazine,CCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3,-1.36
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-2.33
salicylate,C1=CC=C(C(=C1)C(=O)O)[O-],-4.22
17-alfa-Hydroxyprogesterone,CC(=O)C1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O,-3.22
Cyclophosphamide monohydrate,C1CNP(=O)(OC1)N(CCCl)CCCl.O,-2.54
beta-Estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,-2.28
Mannitol,C(C(C(C(C(CO)O)O)O)O)O,-4.46
octylparaben,CCCCCCCCOC(=O)C1=CC=C(C=C1)O,-1.91
p-Tolunitrile,CC1=CC=C(C=C1)C#N,-1.51
Naltrexone,C1CC1CN2CCC34C5C(=O)CCC3(C2CC6=C4C(=C(C=C6)O)O5)O,-2.67
Progesterone,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,-1.7
Phenol,C1=CC=C(C=C1)O,-1.71
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,-4.38
Phenol,C1=CC=C(C=C1)O,-3.83
Mannitol,C(C(C(C(C(CO)O)O)O)O)O,-4.96
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-2.43
Mannitol,C(C(C(C(C(CO)O)O)O)O)O,-4.68
octylparaben,CCCCCCCCOC(=O)C1=CC=C(C=C1)O,-1.82
Urea,C(=O)(N)N,-3.55
